台文,台羅,中文,英文
你免共伊苦勸矣，伊袂聽你的話。,"Lí bián kā i khóo-khǹg--ah, i bē thiann lí ê uē.",你不用再勸他了，他不會聽你的話。,"You don't need to persuade him anymore, he won't listen to you."
穿衫,tshīng sann,穿衣服,Wear clothes.
訂婚,tīng-hun,訂婚,Engagement
訂位,tīng-uī,訂位,Book a reservation.
計算,kè-sǹg,計算,calculate
總計,tsóng-kè,總計,Total
計較,kè-kàu,計較,quibble.
負債超過財產。,Hū-tsè tshiau-kuè tsâi-sán.,背負的債務多於自身擁有的財產。,The debt carried is more than the property owned.
這陣才去敢會赴？,Tsit-tsūn tsiah khì kám ē-hù?,這個時候才去來得及嗎？,Is it still possible to go at this time?
赴人的時間。,Hù lâng ê sî-kan.,趕上他人的約會。,Catch up with someone else's appointment.
赴會,hù-huē,參加宴會,Attend a banquet.
海軍,hái-kun,海軍,Navy
三軍,sam-kun,三軍,three armies in English.
攑旗軍仔,gia̍h-kî-kun-á,古時候皇帝或將軍出巡的時候拿旗的兵,"In ancient times, soldiers carrying flags accompanied the emperor or general on their inspection tours."
時間傷迫。,Sî-kan siunn pik.,時間太緊迫。,Time is too tight.
桌仔排了傷迫。,Toh-á pâi liáu siunn pik.,桌子排得太靠近。,The table is placed too close.
郎君,lông-kun,丈夫,husband
情郎,tsîng-lông,情郎,lover.
四郎探母,Sù-lông thàm bió,四郎探母,Searching for Mother
令郎,līng-lông,令郎,son
這粒西瓜有偌重？,Tsit lia̍p si-kue ū guā tāng?,這顆西瓜有多重？,What is the weight of this watermelon?
伊看錢真重。,I khuànn tsînn tsin tāng.,他很看重錢。,He values money a lot.
伊的手頭真重。,I ê tshiú-thâu tsin tāng.,他的出手很重。,His punch is very heavy.
伊的所費真重。,I ê sóo-huì tsin tāng.,他的花費很大。,His expenses are very high.
重來,tîng-lâi,重來,Start over.
一重皮,tsi̍t tîng phuê,一層皮,one layer of skin
重新,tiông-sin,重新,again or anew in English.
看重,khuànn-tiōng,看重,value
重眠,tiōng-bîn,把睡眠看得很重要、需要較多睡眠時間,Consider sleep very important and require more sleep time.
君子自重。,Kun-tsú tsū tiōng.,君子要自我尊重。,A gentleman should respect oneself.
門閂,mn̂g-tshuànn,門閂,door latch.
你去共門閂起來。,Lí khì kā mn̂g tshuànn--khí-lâi.,你去把門閂起來。,Close the door latch.
投降,tâu-hâng,投降,Surrender.
降火氣,kàng hué-khì,降火氣,reduce anger
飛機起降,hui-ki khí-kàng,飛機起落,The plane takes off and lands.
鬚聳目降,tshiu-tshàng ba̍k-kàng,吹鬍子瞪眼，表示怒氣沖沖的樣子,"Blowing his beard and staring, showing an angry look."
伊用目睭共你降,I īng ba̍k-tsiu kā lí kàng.,他用眼睛瞪你。,He stares at you with his eyes.
請閣予我限幾日仔。,Tshiánn koh hōo guá ān--kuí-ji̍t-á.,請再讓我寬延幾日。,Please give me a few more days of extension.
彼个物件限你明仔載中晝以前予我。,Hit ê mi̍h-kiānn hān lí bîn-á-tsài tiong-tàu í-tsîng hōo--guá.,那個東西限你明天中午以前給我。,That thing is limited to you to give it to me before tomorrow noon.
重大事件,tiōng-tāi sū-kiānn,重大事件,maj
下重手,hē tāng-tshiú,出手用力,Use force when making a move
伊真重手頭。,I tsin tāng-tshiú-thâu.,他的手勁很大。,His grip is very strong.
用衫仔弓晾衫。,Īng sann-á-king nê sann.,用衣架曬衣服。,Hang clothes to dry with a clothes hanger.
洗衫仔褲,sé sann-á-khòo,洗衣服,wash clothes
伊講話重句，愈緊張愈嚴重。,"I kóng-uē tîng-kù, jú kín-tiunn jú giâm-tiōng.",他說話會口吃，越緊張越嚴重。,"He stutters when he speaks, and the more nervous he is, the worse it gets."
如意郎君,jû-ì lông-kun,如意郎君,Ruyi Langjun
伊是專門咧放重利的。,I sī tsuan-bûn teh pàng-tāng-lāi--ê.,他是專門在放高利貸的。,He specializes in lending money at high interest rates.
伊的目睭重巡，真媠。,"I ê ba̍k-tsiu tîng-sûn, tsin suí.",他有雙眼皮，真漂亮。,"He has double eyelids, really beautiful."
限制六十个人。,Hān-tsè la̍k-tsa̍p ê lâng.,限制在六十個人。,Limited to sixty people.
無限制,bô hān-tsè,不限定範圍,not limited to a specific scope
時間已經迫近矣。,Sî-kan í-king pik-kīn--ah.,時間已經逼近了。,Time is approaching.
伊彼个人重食無重穿。,I hit ê lâng tiōng-tsia̍h bô tiōng-tshīng.,他那個人注重飲食不注重穿著。,He pays attention to his diet but not to his clothing.
你的罪惡重重疊疊，洗袂清啦！,"Lí ê tsuē-ok tîng-tîng-tha̍h-tha̍h, sé bē tshing--lah!",你作惡太多，洗不清了！,"You have done too much evil, it cannot be washed away!"
伊這个人真重食。,I tsit ê lâng tsin tiōng-tsia̍h.,他是一個很重視飲食的人。,He is a person who values diet very much.
這領衫是彼領的重倍價。,Tsit niá sann sī hit niá ê tîng-puē kè.,這件衣服是那件的雙倍價格。,This piece of clothing is twice the price of that one.
這間的雞卵糕重倍好食。,Tsit king ê ke-nn̄g-ko tîng-puē hó-tsia̍h.,這家的蛋糕雙倍好吃。,This cake from this shop is doubly delicious.
月底又閣迫倚矣，愛閣攢會仔錢囉。,"Gue̍h-té iū-koh pik-uá--ah, ài koh tshuân huē-á-tsînn--looh.",月底又近了，又要準備會錢囉。,"The end of the month is approaching, and it's time to prepare for the meeting fee."
囡仔人較重眠。,Gín-á-lâng khah tiōng-bîn.,小孩子需要比較長的睡眠時間。,Children need longer sleep time.
代誌去予伊舞一下重耽去。,Tāi-tsì khì hōo i bú tsi̍t-ē tîng-tânn--khì.,事情被他搞得出差錯了。,The matter was messed up by him.
你共我鬥想一个計智來對付伊。,Lí kā guá tàu siūnn tsi̍t ê kè-tì lâi tuì-hù--i.,你幫我想一個計謀來對付他。,Help me come up with a plan to deal with him.
這擔青菜重敧爿。,Tsit tànn tshenn-tshài tāng-khi-pîng.,這擔青菜左右不平衡。,This basket of vegetables is unbalanced.
伊的計畫猶未完成。,I ê kè-uē iáu-buē uân-sîng.,他的計畫還沒完成。,His plan is not yet complete.
伊計畫明年欲出國。,I kè-uē mê-nî beh tshut-kok.,他計畫明年要出國。,He plans to go abroad next year.
我已經想無閣較好的計策矣！,Guá í-king siūnn-bô koh-khah hó ê kè-tshik--ah!,我已經想不出更好的策略了！,I can't think of a better strategy anymore!
校長真重視這擺的音樂比賽。,Hāu-tiúnn tsin tiōng-sī tsit pái ê im-ga̍k pí-sài.,校長很重視這次的音樂比賽。,The principal takes this music competition very seriously.
伊去予車挵一下著重傷。,I khì hōo tshia lòng tsi̍t-ē tio̍h tāng-siong.,他被車撞到，受了重傷。,He was hit by a car and seriously injured.
重新做人,tiông-sin tsò-lâng,重新做人,start a new life
萬項代誌愛看較開咧，毋通傷計較。,"Bān-hāng tāi-tsì ài khuànn khah khui--leh, m̄-thang siunn kè-kàu.",諸多繁雜瑣事要看開一點，不要太計較。,"Many trivial matters should be taken lightly, don't be too concerned."
朋友公家做生理，金錢的問題一定愛計較清楚。,"Pîng-iú kong-ke tsò-sing-lí, kim-tsînn ê būn-tê it-tīng ài kè-kàu tshing-tshó.",朋友一起做生意，有關錢的問題一定要計算清楚。,Friends doing business together must always calculate money-related issues clearly.
你毋通起歹心共伊計算。,Lí m̄-thang khí pháinn-sim kā i kè-sǹg.,你不可以用壞心眼來謀算他。,You cannot use malicious intentions to scheme against him.
小可代誌爾爾，無要緊。,"Sió-khuá tāi-tsì niā-niā, bô iàu-kín.",小事一件罷了，不重要。,"It's just a small matter, not important."
伊無要緊厝內的代誌，干焦要緊佮朋友的約束。,"I bô iàu-kín tshù-lāi ê tāi-tsì, kan-na iàu-kín kah pîng-iú ê iok-sok.",他對家裡的事不在意，只在意與朋友的約定。,"He is indifferent to family matters, only concerned about appointments with friends."
伊上要緊彼隻狗。,I siōng iàu-kín hit tsiah káu.,他最在乎那隻狗。,He cares most about that dog.
會用得閣予我限數無？,Ē-īng-tit koh hōo guá ān-siàu--bô?,可以再讓我延長還帳期限嗎？,Can you extend the repayment deadline for me again?
𪜶這遍的旅遊，費用攏由公司負擔。,"In tsit piàn ê lí-iû, huì-iōng lóng iû kong-si hū-tam.",他們這次的旅遊，費用都由公司負擔。,Their travel expenses for this trip are all covered by the company.
𪜶兜生活的重擔，攏是伊咧擔。,"In tau sing-ua̍h ê tāng-tànn, lóng sī i teh tann.",他家生活的重擔，都是他在承擔。,The burden of his family's life is all borne by him.
你有啥物好的計謀？,Lí ū siánn-mih hó ê kè-bôo?,你有什麼好的計謀？,What good plans do you have?
伊彼个人誠重錢。,I hit ê lâng tsiânn tiōng-tsînn.,他那個人把錢看得很重。,He values money very much.
騎車若欲載物件，物件就愛分伻囥，才袂重頭輕。,"Khiâ-tshia nā beh tsài mi̍h-kiānn, mi̍h-kiānn tō ài pun-phenn khǹg, tsiah bē tāng-thâu-khin.",騎車若要載東西，東西要擺放平均，才不會一邊重一邊輕。,"If you want to carry things on a bike, you need to distribute them evenly so that one side is not heavier than the other."
米是照重聲賣的。,Bí sī tsiàu tāng-siann bē--ê.,米是按重量賣的。,Rice is sold by weight.
伊食重鹹。,I tsia̍h-tāng-kiâm.,他口味吃得很重。,He has a strong taste.
面試,biān-tshì,面試,Interview
面會,biān-huē,面會,meeting.
體面,thé-biān,體面,dignity
伊的面真圓。,I ê bīn tsin înn.,他的臉很圓。,His face is very round.
一面鏡,tsi̍t bīn kiànn,一面鏡子,a mirr
革職,kik-tsit,革職,dismissal or removal from office.
改革,kái-kik,改革,reform
聲音,siann-im,聲音,sound.
音樂,im-ga̍k,音樂,music
風真透,hong tsin thàu,風很大,The wind is very strong.
輪仔漏風,lián-á lāu-hong,輪子漏氣,The wheel is leaking air.
雞胿仔消風,ke-kui-á siau-hong,氣球消風,balloon wind deflator.
一風船,tsi̍t hong tsûn,漁船捕魚一次,Fish caught by fishing boat once.
飛行,hui-hîng,飛行,flight
鳥仔飛來飛去。,Tsiáu-á pue lâi pue khì.,小鳥飛來飛去。,A little bird flies back and forth.
伊佮𪜶女朋友的愛情早就飛去矣。,I kah in lú-pîng-iú ê ài-tsîng tsá tō pue--khì--ah.,他和他的女朋友的戀情早就告吹了。,His relationship with his girlfriend ended long ago.
這隻飛行機是欲飛美國的。,Tsit tsiah hue-lîng-ki sī beh pue Bí-kok--ê.,這架飛機是要飛美國的。,This airplane is going to fly to the United States.
伊今仔日講話飛飛。,I kin-á-ji̍t kóng-uē pue-pue.,他今天講話無法控制。,He is unable to control his speech today.
食果子,tsia̍h kué-tsí,吃水果,eat fruit
食茶,tsia̍h-tê,喝茶,Drink tea.
食燒酒,tsia̍h sio-tsiú,喝酒,Drink alcohol.
食薰,tsia̍h-hun,抽煙,smoking
食頭路,tsia̍h-thâu-lōo,依工作過活,Live according to work.
食名,tsia̍h-miâ,依靠名聲、浪得虛名,"relying on reputation, gaining false fame"
食褒,tsia̍h-po,喜歡被稱讚,like to be praised
食甲老老老。,Tsia̍h kah lāu-lāu-lāu.,活到長命百歲。,Live to be a hundred years old.
食錢,tsia̍h-tsînn,吃錢、貪汙,"corruption, embezzlement"
食秤頭,tsia̍h-tshìn-thâu,偷斤減兩,to steal a catty and pare it down by two.
這隻船食水偌深？,Tsit tsiah tsûn tsia̍h-tsuí guā tshim?,這條船在水中受力有多深？,How deep is the force that this ship is experiencing in the water?
食風,tsia̍h-hong,承受風力,Endure the wind.
這蕊花線條畫了，色愛食較豔咧。,"Tsit luí hue suànn-tiâu uē-liáu, sik ài tsia̍h khah iām--leh.",這朵花的線條畫完，顏色要塗豔麗一點。,"After finishing the lines of this flower, the color should be painted more brightly."
食食,tsia̍h-si̍t,食物,Food.
食品,si̍t-phín,食品,Food.
燒香,sio-hiunn,燒香,burn incense
燒蠓仔香,sio báng-á-hiunn,燒蚊香,burn mosquito coil
伊生做香香。,I senn-tsò  hiunn-hiunn.,他長得很瘦弱。,He looks very thin and weak.
囡仔飼甲一直香去。,Gín-á tshī kah it-ti̍t hiunn--khì.,孩子養得越來越消瘦。,The child is becoming increasingly thin.
伊真𠢕食人。,I tsin gâu tsia̍h--lâng.,他很會占人家便宜。,He is very good at taking advantage of others.
這枝柱仔上食力。,Tsit ki thiâu-á siōng tsia̍h-la̍t.,這根柱子受力最多。,This pillar bears the most force.
食老了後目睭花花，看報紙足食力。,"Tsia̍h-lāu liáu-āu ba̍k-tsiu hue-hue, khuànn pò-tsuá tsiok tsia̍h-la̍t.",年老以後眼茫目花，看報紙很費力。,"After getting old, the eyes become hazy and reading the newspaper becomes very difficult."
伊病一下真食力。,I pēnn tsi̍t-ē tsin tsia̍h-la̍t.,他病得很嚴重。,He is very seriously ill.
阮媽媽上愛面子。,Guán má-mah siōng ài bīn-tsú.,我媽媽最重聲譽。,My mother values her reputation the most.
這擺你看我的面子，就莫佮伊計較矣。,"Tsit pái lí khuànn guá ê bīn-tsú, tō mài kah i kè-kàu--ah.",這次你看我的面子，就別和他計較了。,"If you care about my face this time, then don't argue with him."
彼个查某囡仔面水袂䆀。,Hit ê tsa-bóo gín-á bīn-tsuí bē-bái.,那個女孩子姿色不錯。,That girl has good looks.
看我的面水，原諒伊啦！,"Khuànn guá ê bīn-tsuí, guân-liōng--i--lah.",看我的面子，原諒他啦！,"Considering my face, forgive him!"
這門風水會致蔭囝孫。,Tsit mn̂g hong-suí ē tì-ìm kiánn-sun.,這座墳墓會庇蔭子孫。,This tomb will shelter descendants.
伊風火夯起來矣，你愛較細膩咧。,"I hong-hué giâ--khí-lâi--ah, lí ài khah sè-jī--leh.",他的火氣上升了，你要小心一點。,"His temper is rising, you need to be careful."
伊當佇風火頭，你千萬毋通去惹伊。,"I tng tī hong-hué-thâu, lí tshian-bān m̄-thang khì jiá--i.",他正在氣頭上，你千萬不要去招惹他。,"He's angry right now, so you must not provoke him."
三頓攏食外口。,Sann tǹg lóng tsia̍h-guā-kháu.,三餐都在外面吃。,Eating all meals outside.
食奶囡仔,tsia̍h-ling gín-á,吃奶的孩子,a child who is breastfeeding.
食奶名,tsia̍h-ling-miâ,乳名,Milk name
店面開佇三角窗較食市。,Tiàm-bīn khui tī sann-kak-thang khah tsia̍h-tshī.,開店要在路的轉角，生意才會好。,"To have a good business, you must open your store at the corner of the road."
這塊唱片這馬真食市。,Tsit tè tshiùnn-phìnn tsit-má tsin tsia̍h-tshī.,這張唱片現在很暢銷。,This album is currently very popular.
伊面皮薄，驚見笑。,"I bīn-phuê po̍h, kiann-kiàn-siàu.",他的臉皮薄，怕羞。,His face is thin-skinned and shy.
這項物件予人食名領去矣。,Tsit hāng mi̍h-kiānn hōo lâng tsia̍h-miâ niá--khì--ah.,這個東西被人冒名領走了。,This thing was taken by someone under a false name.
這間店是食名爾爾，物件品質無偌好。,"Tsit king tiàm sī tsia̍h-miâ niā-niā, mi̍h-kiānn phín-tsit bô guā hó.",這間店是浪得虛名而已，東西品質不太好。,This store is just living off its reputation. The quality of the products is not very good.
你的面色無好，敢會是睏無飽眠？,"Lí ê bīn-sik bô hó, kám ē sī khùn bô pá-bîn?",你的氣色不好，是不是沒睡飽？,Your complexion doesn't look good. Did you not get enough sleep?
媽媽今仔日的面色怪怪，咱愛較乖咧，才袂予人罵。,"Má-mah kin-á-ji̍t ê bīn-sik kuài-kuài, lán ài khah kuai--leh, tsiah bē hōo lâng mē.",媽媽今天的臉色怪怪的，我們要乖一點，才不會被罵。,Mom's face looks strange today. We need to behave well so that we won't get scolded.
食老無效，挖無塗豆。,"Tsia̍h-lāu bô-hāu, óo bô thôo-tāu.",年紀大了就沒用了，連花生都挖不到。是老人家調侃自己的俏皮話。,"When you get old, you're useless. You can't even dig up peanuts. This is an old person's playful joke about themselves."
伊這項物件小等閣愛食色，做了有夠工夫。,"I tsit hāng mi̍h-kiānn sió-tán koh ài tsia̍h-sik, tsò liáu ū-kàu kang-hu.",他這件物品等一下還要上色，做得很精緻。,"He will still need to add color to this item later, but it is made very delicately."
予風尾掃著。,Hōo hong-bué sàu--tio̍h.,被風尾吹到。引申被氣頭所波及。,Blown by the wind. Extended to mean being affected by someone's anger.
你莫閣膨風矣，欲講去風尾講！,"Lí mài koh phòng-hong--ah, beh kóng khì hong-bué kóng!",你不要再吹牛了，要吹到一邊去吹吧！,"Don't brag anymore, go brag somewhere else!"
伊的面形較圓。,I ê bīn-hîng khah înn.,他的臉形比較圓。,His face is more round.
人講：「第三查某囝食命」，莫怪你遐好命。,"Lâng kóng, “Tē-sann tsa-bóo-kiánn tsia̍h-miā”, bo̍k-kuài lí hiah hó-miā.",人家說：「第三個女兒運好而坐享清福」，難怪你這麼好命。,"People say, 'The third daughter is lucky and enjoys a comfortable life,' no wonder you have such a good life."
天氣誠寒，你著愛先抹面油才出門。,"Thinn-khì tsiânn kuânn, lí tio̍h-ài sing buah bīn-iû tsiah tshut-mn̂g.",天氣很冷，你得先塗面霜再出門。,"The weather is very cold, you need to apply moisturizer before going out."
伊真𠢕生面油。,I tsin gâu senn bīn-iû.,他臉上很容易分泌油脂。,He is prone to oily skin on his face.
冤冤仇仇，風波幾時休。,"Uan-uan-siû-siû, hong-pho kí sî hiu.",冤冤相報何時了。,When will the cycle of revenge end?
食物一定愛清氣，才有衛生。,"Si̍t-bu̍t it-tīng ài tshing-khì, tsiah ū uē-sing.",吃的東西一定要乾淨，才衛生。,The things you eat must be clean to be hygienic.
風雨斷腸人,hong-ú tuān-tshiâng jîn,風雨斷腸人,Heartbroken person in wind and rain.
美麗的景色出現佇我面前。,Bí-lē ê kíng-sik tshut-hiān tī guá bīn-tsîng.,美麗的景色出現在我面前。,Beautiful scenery appeared in front of me.
面前咱所拄著的問題攏無法度解決，是欲按怎才好？,"Bīn-tsîng lán sóo tú--tio̍h ê būn-tê lóng bô-huat-tōo kái-kuat, sī beh án-tsuánn tsiah hó?",目前我們所遇到的問題都無法解決，要怎麼辦才好？,The problems we are currently facing cannot be solved. What should we do?
伊真有風度，共對頭恭喜。,"I tsin ū hong-tōo, kā tuì-thâu kiong-hí.",他有風度，向對手道賀。,He has grace and congratulates his opponent.
風流才子,hong-liû tsâi-tsú,有才華而不拘禮數的人,A talented person who is not bound by rules of etiquette.
風流人物,hong-liû jîn-bu̍t,傑出有功勞的人,Outstanding and meritorious person.
風流客,hong-liû kheh,尋芳客,Seeking Fragrant Guests
作穡人攏愛靠天公伯仔，才有通食穿。,"Tsoh-sit-lâng lóng ài khò Thinn-kong-peh--á, tsiah ū thang tsia̍h-tshīng.",務農的人都要靠老天爺，才有得吃穿。,People who work in agriculture rely on God to have food and clothing.
食苦當做食補。,Tsia̍h-khóo tòng-tsò tsia̍h-póo.,吃苦當作吃補。比喻苦中作樂。,Take hardship as nourishment. This means to find pleasure in difficult situations.
伊的食食誠無正常。,I ê tsia̍h-si̍t tsiânn bô tsìng-siông.,他的飲食很不正常。,His diet is very abnormal.
伊的目睭去予風飛沙坱著。,I ê ba̍k-tsiu khì hōo hong-pue-sua ing--tio̍h.,風沙跑進他的眼睛裡了。,Wind and sand ran into his eyes.
伊會共人食倯。,I ē kā lâng tsia̍h-sông.,他會欺負老實人。,He will bully honest people.
轉去食家己。,Tńg-khì tsia̍h-ka-kī.,回去吃老本。比喻被解雇、失業。,Go back to eat your savings. This is a metaphor for being fired or unemployed.
伊下暗去食桌，無佇厝裡。,"I e-àm khì tsia̍h-toh, bô tī tshù--lí.",他今晚去吃喜酒，不在家。,He is going to a wedding banquet tonight and won't be at home.
伊這个人上愛風神。,I tsit ê lâng siōng ài hong-sîn.,他這個人最喜歡誇大其詞。,He tends to exaggerate.
你愛拍拚趁錢，買新厝，予恁爸風神一下。,"Lí ài phah-piànn thàn-tsînn, bé sin tshù, hōo lín pâ hong-sîn--tsi̍t-ē.",你應該努力賺錢，買新房，讓你爸爸神氣一下。,"You should work hard to earn money, buy a new house, and make your father proud."
做生理毋通共人食秤頭。,Tsò-sing-lí m̄-thang kā lâng tsia̍h-tshìn-thâu.,做生意不可以偷斤減兩欺騙顧客。,"Doing business, one cannot cheat or deceive customers by shortchanging them."
阿英，好來食晝矣。,"A-ing, hó lâi tsia̍h-tàu--ah.",阿英，可以來吃中飯了。,"Ah Ying, you can come eat lunch now."
食晝才來共伊看。,Tsia̍h-tàu tsiah lâi kā i khuànn.,中午的時候再去探望他。,Visit him again at noon.
你逐工食清領便，閣有啥物好煩惱的？,"Lí ta̍k-kang tsia̍h-tshing-niá-piān, koh ū siánn-mih hó huân-ló--ê?",你每天茶來伸手，飯來張口，還有什麼好煩惱的？,"You stretch out your hand for tea every day, open your mouth for food, what else is there to worry about?"
伊彼个人食軟驚硬。,I hit ê lâng tsia̍h-nńg-kiann-ngē.,他那個人欺善怕惡。,He is a person who bullies the kind and fears the wicked.
麻煩你共面頂彼本冊提來予我。,Mâ-huân lí kā bīn-tíng hit pún tsheh the̍h-lâi hōo--guá.,麻煩你把上面那本書拿來給我。,Please bring me the book on top.
今仔日風湧真大，是毋是風颱欲來矣？,"Kin-á-ji̍t hong-íng tsin tuā, sī m̄ sī hong-thai beh lâi--ah?",今天風浪很大，是不是颱風要來了？,"Today the wind and waves are very strong, is a typhoon coming?"
用風筒來灌風。,Īng hong-tâng lâi kuàn-hong.,用充氣筒來打氣。,Use an air pump to inflate.
伊自出世就食菜到今。,I tsū tshut-sì tō tsia̍h-tshài kàu-tann.,他從出生就吃素到現在。,He has been a vegetarian since birth.
定定食菜較袂高血壓。,Tiānn-tiānn tsia̍h tshài khah bē ko-hiat-ap.,常常吃蔬菜比較不會高血壓。,Eating vegetables often is less likely to cause high blood pressure.
來啦！盡量食菜，免客氣。,"Lâi--lah! Tsīn-liōng tsia̍h tshài, bián kheh-khì.",來吧！盡量配菜，不要客氣。請客時勸客人用菜進食的客套話。,"Come on! Please feel free to pair the dishes. Don't be polite. When treating guests, use courteous words to encourage them to eat the dishes."
伊做代誌認真，風評袂䆀。,"I tsò tāi-tsì jīn-tsin, hong-phîng bē-bái.",他做事認真，頗獲好評。,He is serious about his work and has received high praise.
看風勢,khuànn hong-sè,看風行船、見機行事,"Watch the wind and sail, seize the opportunity and act."
阮囝咧做兵，後禮拜我欲來去面會。,"Guán kiánn teh tsò-ping, āu lé-pài guá beh lâi-khì biān-huē.",我兒子在當兵，下個禮拜我要去會面。,"My son is in the military, I will go to meet him next week."
叫恁老爸趕緊轉來食暗矣。,Kiò lín lāu-pē kuánn-kín tńg-lâi tsia̍h-àm--ah.,叫你爸爸趕快回來吃晚飯了。,Your dad is called to come back quickly to have dinner.
萬代香煙,bān-tāi hiunn-ian,萬代家系不絕,The family line of ten thousand generations will never end.
藥補不如食補。,Io̍h póo put-jû si̍t-póo.,藥補不如食補。,Medicine supplementation is not as good as food supplementation.
去市場拄著一隻飛鼠，錢就予伊撏去矣。,"Khì tshī-tiûnn tú-tio̍h tsi̍t tsiah pue-tshí, tsînn tō hōo i jîm--khì--ah.",去市場遇到扒手，錢就被扒走了。,I met a pickpocket at the market and my money was stolen.
伊真有食福，每一擺來，我攏拄好咧煮好料的。,"I tsin ū tsia̍h-hok, muí tsi̍t pái lâi, guá lóng tú-hó teh tsú hó-liāu--ê.",他真有口福，每一次來，我都剛好在煮好吃的東西。,"He's really lucky. Every time he comes, I just happen to have cooked something delicious."
掃著風颱尾,sàu-tio̍h hong-thai-bué,遭池魚之殃,suffer the consequences of ones actions.
看你按呢面憂面結，是有啥物心事？,"Khuànn lí án-ne bīn-iu-bīn-kat, sī ū siánn-mih sim-sū?",看你愁眉苦臉，有什麼心事嗎？,"Looking at your furrowed brow and troubled expression, do you have something on your mind?"
衫仔愛食漿過，才會伸。,"Sann-á ài tsia̍h-tsiunn--kuè, tsiah ē tshun.",衣服要在米湯中浸泡過，才會平整。,Clothes need to be soaked in rice soup in order to be flattened.
伊的面模仔誠媠。,I ê bīn-bôo-á tsiânn suí.,他的臉蛋很漂亮。,His face is very beautiful.
你看著面熟面熟，咱敢捌相見過？,"Lí khuànn tio̍h bīn-si̍k-bīn-si̍k, lán kám bat sio-kìnn--kuè?",你看起來好面熟，我們可曾見過面？,"You look familiar, have we met before?"
這个囡仔食褒。,Tsit ê gín-á tsia̍h-po.,這個孩子喜愛人家讚美。,This child enjoys being praised by others.
看恁兩个感情遮好，我會食醋呢。,"Khuànn lín nn̄g ê kám-tsîng tsiah hó, guá ē tsia̍h-tshòo--neh.",看你們感情這麼好，我會吃醋耶。,"Seeing how close you guys are, I feel jealous."
你就是對人傷無客氣，才會不時咧食膨餅。,"Lí tō sī tuì lâng siunn bô kheh-khì, tsiah ē put-sî teh tsia̍h-phòng-piánn.",你就是對人太不客氣，才會常常碰壁。,You often hit a wall because you are not polite enough to others.
伊才毋是彼款會食錢的人。,I tsiah m̄ sī hit khuán ē tsia̍h-tsînn ê lâng.,他才不是那種會貪汙收賄的人。,He is not the kind of person who would be corrupt and take bribes.
伊真愛出風頭。,I tsin ài tshut-hong-thâu.,他很喜歡在外人面前表現自我。,He likes to show himself in front of strangers.
伊都徛佇你的面頭前矣，你閣無看著。,"I to khiā tī lí ê bīn-thâu-tsîng--ah, lí koh bô khuànn--tio̍h.",他都站在你面前了，你還沒看到。,"He is standing in front of you, but you still haven't seen him."
伊佇𪜶阿叔遐食頭路。,I tī in a-tsik hia tsia̍h-thâu-lōo.,他在他叔叔那裡上班。,He works at his uncle's place.
風喙口有一陣風聲噓噓叫。,Hong-tshuì-kháu ū tsi̍t tsūn hong-siann hū-hū-kiò.,風口有一陣風聲呼呼叫。,There is a sound of wind whistling at the windward.
你敢有聽著彼件代誌的風聲？,Lí kám ū thiann-tio̍h hit kiānn tāi-tsì ê hong-siann?,你有沒有聽到那件事情的消息？,Have you heard the news about that thing?
伊做人的風聲袂䆀。,I tsò-lâng ê hong-siann bē-bái.,他為人的風評不錯。,His reputation as a person is good.
外口當咧風聲講金仔欲起大價矣。,Guā-kháu tng-teh hong-siann kóng kim-á beh khí-tuā-kè--ah.,外面正在傳聞金子要漲價了。,"Outside, there are rumors that the price of gold is going to rise."
出家人袂使食臊。,Tshut-ke-lâng bē-sái tsia̍h-tsho.,出家人不可以吃葷食。,A monk cannot eat meat.
小可仔代誌毋通風聲嗙影，講甲毋知偌嚴重咧。,"Sió-khuá-á tāi-tsì m̄-thang hong-siann-pòng-iánn, kóng kah m̄ tsai guā giâm-tiōng--leh.",小事不要捕風捉影，說得好像多嚴重一樣。,"Don't make a mountain out of a molehill, it's not as serious as you make it sound."
逐項攏欲計較，上尾食虧的是你家己。,"Ta̍k hāng lóng beh kè-kàu, siōng-bué tsia̍h-khui--ê sī lí ka-kī.",每件事都要計較，最後吃虧的會是你自己。,"Every little thing matters, in the end, you will be the one who suffers."
食薰對身體無好。,Tsia̍h-hun tuì sin-thé bô hó.,抽煙對身體不好。,Smoking is bad for the body.
看伊行路的款，實在有夠風騷。,"Khuànn i kiânn-lōo ê khuán, si̍t-tsāi ū-kàu hong-so.",看他那副走路的樣子，實在是輕佻到極點。,"Looking at his way of walking, it is really frivolous to the extreme."
囡仔人真愛風騷。,Gín-á-lâng tsin ài hong-so.,小孩子家這麼愛玩。,Children love to play at home.
修路,siu lōo,修路,road construction
修行,siu-hīng,學道或是修習佛法,Learn Tao or practice Buddhism.
修面,siu-bīn,修面,facial grooming
修喙鬚,siu tshuì-tshiu,剃鬍鬚,Shave beard.
修跤趼,siu kha-lan,削平腳繭,Smooth out calluses on feet.
俺爸,án-pē,爸爸,Dad
俺母,án-bú,媽媽,mother
俺公,án-kong,爺爺,Grandfather.
俺媽,án-má,奶奶,Grandmother.
俺逐家攏著愛疼俺這塊土地。,Án ta̍k-ke lóng tio̍h-ài thiànn án tsit tè thóo-tē.,我們大家都要愛我們的土地。,We all should love our land.
米倉,bí-tshng,米庫,Miku
粟倉,tshik-tshng,穀倉,granary.
