中文,台文,台羅,白話字
當台灣還像是三零年代那樣爭論著台語要怎麼寫成漢字的時候，,當台灣猶親像三空年代咧爭論台語欲按怎寫做漢字的時，,"tng Tâi-uân iáu tshin-tshiūnn sam khòng nî-tāi teh tsing-lūn Tâi-gí beh án-tsuánn siá tsò hàn-jī ê sî,","tng Tâi-oân iáu chhin-chhiūⁿ sam khòng nî-tāi teh cheng-lūn Tâi-gí beh án-chóaⁿ siá chò hàn-jī ê sî,"
我們那邊左鄰右舍時不時都會拿不一樣的茶葉來找我爸泡茶閒聊。,阮遐厝邊頭尾不時嘛提無仝茶米來揣阮爸泡茶話仙。,Gún hia tshù-pinn-thâu-bué put-sî mā the̍h bô kâng tê-bí lâi tshuē gún pâ phàu tê uē-sian.,Gún hia chhù-piⁿ-thâu-bóe put-sî mā the̍h bô kâng tê-bí lâi chhōe gún pâ phàu tê ōe-sian.
作者：邱文錫,作者：邱文錫,tsok-tsiá: Khu Bûn-sik,chok-chiá:Khu Bûn-sek
你還要點什麼嗎？,你猶愛點啥物無？,Lí iah ài tiám siánn-mi̍h--bô?,Lí iah ài tiám siáⁿ-mi̍h--bô?
阿生很認真，,阿生足認真，,"A-sing tsiok jīn-tsin,","A-seng chiok jīn-chin,"
在七月時拜孤魂野鬼所形成的鬼月，,佇七月時仔拜孤魂野鬼所形成的鬼月，,"tī tshit-gue̍h-sî-á pài koo-hûn iá-kuí sóo hîng-sîng ê kuí-gue̍h,","tī chhit-goe̍h-sî-á pài ko͘-hûn iá-kúi só͘ hêng-sêng ê kúi-goe̍h,"
不過，阿生的名字並不在上面。,毋過，阿生的名並無佇頂面。,"m̄-kù, A-sing ê miâ pīng bô tǐr tíng-bīn.","m̄-kù,A-seng ê miâ pēng bô tǐr téng-bīn."
接著趴在書桌上裝睡。,紲落仆踮冊桌仔頂假睏。,suà--lo̍h phak tiàm tsheh-toh-á-tíng ké khùn.,sòa--lo̍h phak tiàm chheh-toh-á-téng ké khùn.
才連帶接續一九三零年代「台灣話文論戰」未完成的議題。,才連帶接紲一九三零年代「台灣話文論戰」未完成的議題。,tsiah liân-tài tsiap-suà it kiú sam khòng nî-tāi “Tâi-uân uē-bûn lūn-tsiàn” buē uân-sîng ê gī-tê.,chiah liân-tài chiap-sòa it kiú sam khòng nî-tāi“Tâi-oân ōe-bûn lūn-chiàn”bōe oân-sêng ê gī-tê.
大家快來看喔！,逐家緊來看喔！,ta̍k-ke kín lâi khuànn--ooh!,ta̍k-ke kín lâi khòaⁿ--o͘h!
劉老師，你知道這本書多少錢嗎？,劉老師，你知影這本冊偌濟錢無？,"Lâu lāu-su, lí tsai-iánn tsit pún tsheh guā-tsē tsînn--bô?","Lâu lāu-su,lí chai-iáⁿ chit pún chheh gōa-chē chîⁿ--bô?"
也不曉得倒茶給老師喝？」,曷袂曉斟茶予老師啉？」,a̍h bē-hiáu thîn-tê hōo lāu-su lim?”,a̍h bē-hiáu thîn-tê hō͘ lāu-su lim?”
爸爸在北部做粗工，,老爸佇咧北部做粗工，,"lāu-pē tī-leh pak-pōo tsò tshoo-kang,","lāu-pē tī-leh pak-pō͘ chò chho͘-kang,"
每項都嘛是電腦，,逐項攏嘛是電腦，,"ta̍k hāng lóng mā sī tiān-náu,","ta̍k hāng lóng mā sī tiān-náu,"
誠心獻上我們的感謝跟祝福。,誠心獻上阮的感謝佮祝福。,sîng-sim hiàn-siōng gún ê kám-siā kah tsiok-hok.,sêng-sim hiàn-siōng gún ê kám-siā kah chiok-hok.
還有不同顏色的水道線。,閣有無仝的色水分水道線。,koh ū bô kâng ê sik-tsuí hun-tsuí-tō suànn.,koh ū bô kâng ê sek-chúi hun-chúi-tō sòaⁿ.
下著毛毛雨，,天落霎霎仔雨，,"thinn lo̍h sa̍p-sa̍p-á-hōo,","thiⁿ lo̍h sa̍p-sa̍p-á-hō͘,"
鼓勵台文寫作，,鼓勵台文寫作，,"kóo-lē Tâi-bûn siá-tsok,","kó͘-lē Tâi-bûn siá-chok,"
接下來，我們應該趕快邁入「既新且獨立」的階段：,閣來，咱愛趕緊迒入「新閣獨立」的階段：,"koh lâi, lán ài kuánn-kín hānn-ji̍p “sin koh to̍k-li̍p” ê kai-tuānn:","koh lâi,lán ài kóaⁿ-kín hāⁿ-ji̍p“sin koh to̍k-li̍p”ê kai-tōaⁿ:"
當初爸爸這麼說，,當初爸爸按呢講，,"tong-tshoo pa-pa án-ni kóng,","tong-chho͘ pa-pa án-ni kóng,"
在台語文運動史裡是很值得紀念的大事。,佇台語文運動史裡是真通記念的大代誌。,tī Tâi-gí-bûn ūn-tōng-sú--lí sī tsin thang kì-liām ê tuā tāi-tsì.,tī Tâi-gí-bûn ūn-tōng-sú--lí sī chin thang kì-liām ê tōa tāi-chì.
如果蔣家繼續傳到第三代、第四代，,若是蔣家繼續傳到第三代、第四代，,"nā-sī Tsiúnn--ka kè-sio̍k thuân kàu tē-sann tāi, tē-sì tāi,","nā-sī Chiúⁿ--ka kè-sio̍k thoân kàu tē-saⁿ tāi,tē-sì tāi,"
我們一直都無法解決台語文學的書寫問題。,咱一直攏無法度解決台語文學書寫的問題。,lán it-ti̍t lóng bô-huat-tōo kái-kuat Tâi-gí bûn-ha̍k su-siá ê būn-tê.,lán it-ti̍t lóng bô-hoat-tō͘ kái-koat Tâi-gí bûn-ha̍k su-siá ê būn-tê.
做生意就是要競爭，,做生理就是愛有競爭，,"tsò-sing-lí tō sī ài ū kīng-tsing,","chò-seng-lí tō sī ài ū kēng-cheng,"
他在一九五五年出生,伊佇一九五五年出世,i-tī it kiú ngóo ngóo nî tshut-sì,i-tī it kiú ngó͘ ngó͘ nî chhut-sì
老實說我很想繼續升學。」,坦白講我足想欲閣讀。」,thán-pi̍k kóng guá tsiok siūnn-beh koh tha̍k.”,thán-pe̍k kóng góa chiok siūⁿ-beh koh tha̍k.”
「這樣的話，明天開始，,「若按呢，明仔載起，,"“Nā án-ne, bîn-á-tsài khí,","“Nā án-ne,bîn-á-chài khí,"
包包仔粿，,包包仔粿，,"pau pau-á-kué,","pau pau-á-kóe,"
在那個不鼓勵玩水、下水的時代，,佇彼个無鼓勵人耍水、沐水的時代，,"tī hit ê bô kóo-lē lâng sńg-tsuí, bak tsuí ê sî-tāi,","tī hit ê bô kó͘-lē lâng sńg-chúi,bak chúi ê sî-tāi,"
用母語創作，,用母語創作，,"iōng bó-gí tshòng-tsok,","iōng bó-gí chhòng-chok,"
他們這裡有紅燒魚嗎？,𪜶遮有紅燒魚無？,In tsia ū âng-sio-hî--bô?,In chia ū âng-sio-hî--bô?
慢慢的推廣，,慢慢仔推廣，,"bān-bān-á thui-kóng,","bān-bān-á thui-kóng,"
大紅色只要放對地方，,大紅若囥著所在，,"Tuā-âng nā khǹg tio̍h sóo-tsāi,","Tōa-âng nā khǹg tio̍h só͘-chāi,"
金萱有牛奶和桂花的清香，,金萱有牛奶和桂花的清芳，,"kim-suan ū gû-ling hām kuì-hue ê tshing-phang,","kim-soan ū gû-leng hām kùi-hoe ê chheng-phang,"
還積極發展母語書寫的能力，,閣積極發展母語書寫的能力，,"koh tsik-ki̍k huat-tián bó-gí su-siá ê lîng-li̍k,","koh chek-ke̍k hoat-tián bó-gí su-siá ê lêng-le̍k,"
蔡培火從日本時代起就為臺灣人而奮鬥，,蔡培火佇日本時代就為臺灣人拍拚，,"Tshuà Puē-hué tī Ji̍t-pún Sî-tāi tō uī Tâi-uân-lâng phah-piànn,","Chhòa Pōe-hóe tī Ji̍t-pún Sî-tāi tō ūi Tâi-oân-lâng phah-piàⁿ,"
作者：蕭平治,作者：蕭平治,tsok-tsiá: Siau Pîng-tī,chok-chiá:Siau Pêng-tī
"總共兩百零三元,找你九十七元","攏總兩百零三箍,找你九十七箍","lóng-tsóng nn̄g-pah khòng sann khoo, tsāu lí káu-tsa̍p tshit khoo","lóng-chóng nn̄g-pah khòng saⁿ kho͘,chāu lí káu-cha̍p chhit kho͘"
真的一覺到天亮。,有影一暝到天光。,ū-iánn tsi̍t mê kàu thinn-kng.,ū-iáⁿ chi̍t mê kàu thiⁿ-kng.
趁著學校有母語教育，,趁學校有母語教育，,"thàn ha̍k-hāu ū bú-gí kàu-io̍k,","thàn ha̍k-hāu ū bú-gí kàu-io̍k,"
不學就笨，,毋學就戇，,"m̄ o̍h tio̍h gōng,","m̄ o̍h tio̍h gōng,"
「台文筆會」的成員有很多台文作家是直接或者是間接受著《台文通訊》的影響跟造就，,「台文筆會」的成員有真濟台文作家是直接或者是間接受著《台文通訊》的影響佮造就，,"“Tâi-bûn pit-huē” ê sîng-guân ū tsin tsē Tâi-bûn tsok-ka sī ti̍t-tsiap hi̍k-tsiá sī kan-tsiap siū-tio̍h “Tâi-bûn thong-sìn” ê íng-hióng kah tsō-tsiū,","“Tâi-bûn pit-hōe”ê sêng-goân ū chin chē Tâi-bûn chok-ka sī ti̍t-chiap he̍k-chiá sī kan-chiap siū-tio̍h“Tâi-bûn thong-sìn”ê éng-hióng kah chō-chiū,"
阿生像是中了愛國獎券一樣，,阿生若著愛國獎券咧，,"A-sing ná tio̍h ài-kok tsióng-kuàn--leh,","A-seng ná tio̍h ài-kok chióng-koàn--leh,"
就發動「二二八大屠殺」，,就發動「二二八大屠殺」，,"tiō huat-tōng “Jī-jī-pat tuā tôo-sat”,","tiō hoat-tōng“Jī-jī-pat tōa tô͘-sat”,"
三、文章一,三、文章一,sann、bûn-tsiong it,saⁿ、bûn-chiong it
啊隔壁鄰居的玩伴多少會有人走來我們家的門口，,啊厝邊隔壁的囡仔伴加減會有人走來阮兜的門跤口，,"ah tshù-pinn-keh-piah ê gín-á-phuānn ke-kiám ē ū lâng tsáu-lâi gún tau ê mn̂g-kha-kháu,","ah chhù-piⁿ-keh-piah ê gín-á-phōaⁿ ke-kiám ē ū lâng cháu-lâi gún tau ê mn̂g-kha-kháu,"
特別是要傾力出版童書，,特別是愛大大力出版囡仔冊，,"ti̍k-pia̍t sī ài tuā-tuā-la̍t tshut-pán gín-á-tsheh,","te̍k-pia̍t sī ài tōa-tōa-la̍t chhut-pán gín-á-chheh,"
半天之後，,半晡仔後，,"puànn-poo-á āu,","pòaⁿ-po͘-á āu,"
一整個世紀，誤人子弟。,規世紀矣，教歹囡仔大細。,"kui sè-kí--ah, kà pháinn gín-á tuā-suè.","kui sè-kí--ah,kà pháiⁿ gín-á tōa-sòe."
這幾天國民黨正認真舉行蔣經國過世三十週年的紀念會。,這幾日仔國民黨認真咧舉行蔣經國死去三十週年的紀念會。,Tsit kuí-ji̍t-á Kok-bîn-tóng līn-tsin leh kú-hîng Tsiúnn King-kok sí--khìr sann-tsa̍p tsiu-nî ê kì-liām-huē.,Chit kúi-ji̍t-á Kok-bîn-tóng līn-chin leh kú-hêng Chiúⁿ Keng-kok sí--khìr saⁿ-cha̍p chiu-nî ê kì-liām-hōe.
要讀國中的，就不用掃廁所；,欲讀國中的，就毋免掃便所；,"Beh tha̍k kok-tiong--ê, tō m̄-bián sàu piān-sóo;","Beh tha̍k kok-tiong--ê,tō m̄-bián sàu piān-só͘;"
說出「臺語文出頭天！」,講「臺語文出頭天！」,kóng “Tâi-gí-bûn tshut-thâu-thinn!”,kóng“Tâi-gí-bûn chhut-thâu-thiⁿ!”
因為多少有死狗、死貓跟一些不乾淨、沒人要、壞掉、骯髒的東西在圳溝裡漂流。,因為加減有死狗、死貓佮一寡無清氣、人無愛、歹去、害去、垃圾的物件佇圳溝內浮流。,"in-uī ke-kiám ū sí káu, sí niau kah tsi̍t-kuá bô tshing-khì, lâng bô-ài, pháinn--khì, hāi--khì, lah-sap ê mih-kiānn tī tsùn-kau-lāi phû-lâu.","in-ūi ke-kiám ū sí káu,sí niau kah chi̍t-kóa bô chheng-khì,lâng bô-ài,pháiⁿ--khì,hāi--khì,lah-sap ê mih-kiāⁿ tī chùn-kau-lāi phû-lâu."
作者：曾江山,作者：曾江山,tsok-tsiá: Tsan Kang-san,chok-chiá:Chan Kang-san
人長得斯文斯文，,人生做斯文斯文，,"lâng senn tsò su-bûn-su-bûn,","lâng seⁿ chò su-bûn-su-bûn,"
起先是大同國小邀請三潭國小的學生，,代先是大同國小邀請三潭國小的學生，,"tāi-sing sī Tāi-tông kok-sió iau-tshiánn Sam-thâm kok-sió ê ha̍k-sing,","tāi-seng sī Tāi-tông kok-sió iau-chhiáⁿ Sam-thâm kok-sió ê ha̍k-seng,"
我要一塊巧克力鬆餅。,我欲愛一塊tsioo-kóo-lè-tòo的格仔餅。,guá beh ài tsi̍t tè tsioo-kóo-lè-tòo ê keh-á-piánn.,góa beh ài chi̍t tè chio͘-kó͘-lè-tò͘ ê keh-á-piáⁿ.
鄉下人一定沒有我們都市人這麼聰明。,庄跤人一定無咱都市人遐巧。,tsng-kha-lâng it-tīng bô lán too-tshī-lâng hiah khiáu.,chng-kha-lâng it-tēng bô lán to͘-chhī-lâng hiah khiáu.
做生意就是要講究品質；,做生理就是愛講究品質；,tsuè-sing-lí tiō sī ài káng-kiù phín-tsit;,chòe-seng-lí tiō sī ài káng-kiù phín-chit;
阿生也舉手。,阿生嘛攑手。,A-sing mā gia̍h-tshiú.,A-seng mā gia̍h-chhiú.
跟種在四周的樹、草坪、花叢，,佮種佇四界的樹仔、草埔、花欉，,"kah tsìng tī sì-kè ê tshiū-á, tsháu-poo, hue-tsâng,","kah chèng tī sì-kè ê chhiū-á,chháu-po͘,hoe-châng,"
想起孩提時代，,想起囡仔時代，,"siūnn-khí gín-á sî-tāi,","siūⁿ-khí gín-á sî-tāi,"
值得教育者的重視。,值得教育者的重視。,ta̍t-tit kàu-io̍k-tsiá ê tiōng-sī.,ta̍t-tit kàu-io̍k-chiá ê tiōng-sī.
青菜豆腐湯不錯。,青菜豆腐湯袂䆀。,Tshenn-tshài tāu-hū thng bē-bái.,Chheⁿ-chhài tāu-hū thng bē-bái.
他會輕輕地對我說……,伊會輕聲仔共我講……,I ē khin-siann-á kā guá kóng...,I ē khin-siaⁿ-á kā góa kóng...
輸入法也要有競爭力！,輸入法嘛愛有競爭力！,su-ji̍p-huat mā ài ū kìng-tsing-li̍k!,su-ji̍p-hoat mā ài ū kèng-cheng-le̍k!
心一驚，,心肝頭嚓一下，,"sim-kuann-thâu tshia̍k--tsi̍t-ē,","sim-koaⁿ-thâu chhia̍k--chi̍t-ē,"
從事臺語文真的有錢賺、有成就感、還有好名聲。,做臺語文真正有錢趁、有成就、閣好名聲。,"tsò Tâi-gí-bûn tsin-tsiànn ū tsînn thàn, ū sîng-tsiū, koh hó miâ-siann.","chò Tâi-gí-bûn chin-chiàⁿ ū chîⁿ thàn,ū sêng-chiū,koh hó miâ-siaⁿ."
接著去吃晚餐，,紲落去食暗頓，,"suà--lo̍h-khì tsia̍h àm-tǹg,","sòa--lo̍h-khì chia̍h àm-tǹg,"
走向奶奶輕輕撫摸背部。,行倚尻脊骿共捋捋咧。,kiânn uá kha-tsiah-phiann kā luah-luah--leh.,kiâⁿ óa kha-chiah-phiaⁿ kā loah-loah--leh.
他馬上現出原形。,伊隨現出原形。,i suî hiàn-tshut guân-hîng.,i sûi hiàn-chhut goân-hêng.
他挑東西的速度不慢，,伊咧揀物件的跤手無慢，,"I leh kíng mi̍h-kiānn ê kha-tshiú bô bān,","I leh kéng mi̍h-kiāⁿ ê kha-chhiú bô bān,"
跟專業的老師學拼布、泡茶這兩門課。,綴專業的老師上敆布、泡茶這兩項課。,"tèr tsuan-gia̍p ê lǎu-sir siōng kap-pòo, phàu tê tsit nn̄g hāng khò.","tèr choan-gia̍p ê lǎu-sir siōng kap-pò͘,phàu tê chit nn̄g hāng khò."
說來也奇怪，兩人一起踏進店門，,講也奇怪，雙人同齊踏入店門，,"kóng iā kî-kuài, siang-lâng tâng-tsê ta̍h-ji̍p tiàm-mn̂g,","kóng iā kî-koài,siang-lâng tâng-chê ta̍h-ji̍p tiàm-mn̂g,"
明年我爸爸也要買一台給我。,明年阮爸爸嘛欲買一台予我。,mê-nî gún pá-pah mā beh bé tsi̍t tâi hōo--guá.,mê-nî gún pá-pah mā beh bé chi̍t tâi hō͘--góa.
不學就笨，,毋學就戇，,"m̄ o̍h tō gōng,","m̄ o̍h tō gōng,"
都市人沒見識，鄉下人沒知識,都市倯，庄跤戇,"too-tshī-sông, tsng-kha-gōng","to͘-chhī-sông,chng-kha-gōng"
就是搖尾狗，寵妾，,就是搖尾狗，寵妾，,"tō sī iô-bué-káu, thióng-tshiap,","tō sī iô-bóe-káu,thióng-chhiap,"
開學整個禮拜，,開學規禮拜，,"khai-ha̍k kui-lé-pài,","khai-ha̍k kui-lé-pài,"
「爸！我這個暑假賺了六百元。,「阿爸！我這个歇熱趁著六百箍。,“A-pah! Guá tsit ê hioh-lua̍h thàn-tio̍h la̍k-pah khoo.,“A-pah!Góa chit ê hioh-loa̍h thàn-tio̍h la̍k-pah kho͘.
來賓三百一十四號請到十二號櫃台辦理,來賓三百十四號請來十二號櫃台辦理,lâi-pin sann-pah it tsa̍p-sì hō tshiánn-lâi tsa̍p-jī hō kuī-tâi pān-lí,lâi-pin saⁿ-pah it cha̍p-sì hō chhiáⁿ-lâi cha̍p-jī hō kūi-tâi pān-lí
民間大部分拜門口，,民間大部分拜門口，,"bîn-kan tuā-pōo-hun pài mn̂g-kháu,","bîn-kan tōa-pō͘-hun pài mn̂g-kháu,"
我才會舉手，,我毋才攑手，,"guá m̄-tsiah gia̍h-tshiú,","góa m̄-chiah gia̍h-chhiú,"
淑珠打開那把粉紅色的兩節雨傘，,淑珠展開彼枝粉紅色的兩節雨傘，,"Siok-tsu tián-khui hit ki hún-âng-sik ê nn̄g tsat hōo-suànn,","Siok-chu tián-khui hit ki hún-âng-sek ê nn̄g chat hō͘-sòaⁿ,"
獻給蔣總統二世，,獻予第二世的蔣總統，,"hiàn hōo tē-jī sè ê Tsiúnn tsóng-thóng,","hiàn hō͘ tē-jī sè ê Chiúⁿ chóng-thóng,"
抬頭看著薄薄的日光，,擔頭看著薄薄的日鬚，,"tànn-thâu khuànn-tio̍h po̍h-po̍h ê ji̍t-tshiu,","tàⁿ-thâu khòaⁿ-tio̍h po̍h-po̍h ê ji̍t-chhiu,"
我們以台灣的主體性思考，,阮以台灣的主體性思考，,"gún í Tâi-uân ê tsú-thé-sìng su-khó,","gún í Tâi-oân ê chú-thé-sèng su-khó,"
臺灣人才能當總統、五院院長、四星上將、中研院院長、大學校長，,臺灣人才會當做總統、五院院長、四粒星的上將、中研院的院長、大學的學校長，,"Tâi-uân-lâng tsiah ē-tàng tsò tsóng-thóng, gōo īnn īnn-tiúnn, sì lia̍p tshenn ê siōng-tsiòng, Tiong-gián-īnn ê īnn-tiúnn, tāi-ha̍k ê ha̍k-hāu-tiúnn,","Tâi-oân-lâng chiah ē-tàng chò chóng-thóng,gō͘ īⁿ īⁿ-tiúⁿ,sì lia̍p chheⁿ ê siōng-chiòng,Tiong-gián-īⁿ ê īⁿ-tiúⁿ,tāi-ha̍k ê ha̍k-hāu-tiúⁿ,"
有登上社會新聞的，,有出社會新聞的，,"ū tshut siā-huē sin-bûn--ê,","ū chhut siā-hōe sin-bûn--ê,"
他一九九四年出生,伊佇一九九四年出世,i tī it kiú kiú sù nî tshut-sì,i tī it kiú kiú sù nî chhut-sì
老身在這裡跟你道歉。,老身的踮遮共你會失禮。,lāu-sin--ê tiàm tsia kā lí huē-sit-lé.,lāu-sin--ê tiàm chia kā lí hōe-sit-lé.
一九七五年的老蔣總統過世，,一九七五年的老的蔣總統過身，,"It kiú tshit ngóo nî ê lāu ê Tsiúnn tsóng-thóng kuè-sin,","It kiú chhit ngó͘ nî ê lāu ê Chiúⁿ chóng-thóng kòe-sin,"
我們家兩台欸，,阮兜兩台咧，,"gún tau nn̄g tâi--leh,","gún tau nn̄g tâi--leh,"
一九九七年年底，,一九九七年年尾，,"it kiú kiú tshit nî nî-bué,","it kiú kiú chhit nî nî-bóe,"
比我媽媽買的還好吃！,比阮阿母買的較好食！,pí gún a-bú  bé--ê khah hó-tsia̍h!,pí gún a-bú bé--ê khah hó-chia̍h!
是記憶中那個人對我的影響，,是記持中彼个人對我的影響，,"sī kì-tî-tiong hit ê lâng tuì guá ê íng-hióng,","sī kì-tî-tiong hit ê lâng tùi góa ê éng-hióng,"
羅漢跤雖然好用，,羅漢跤雖罔好用，,"Lô-hàn-kha sui-bóng hó iōng,","Lô-hàn-kha sui-bóng hó iōng,"
快準備拜拜。,緊攢拜。,kín tshuân pài.,kín chhoân pài.
慢慢地推廣，,慢慢仔推廣，,"bān-bān-á thui-kóng,","bān-bān-á thui-kóng,"
我們一直無法解決台語文學書寫的問題。,咱一直攏無法度解決台語文學書寫的問題。,lán it-ti̍t lóng bô-huat-tōo kái-kuat Tâi-gí bûn-ha̍k su-siá ê būn-tê.,lán it-ti̍t lóng bô-hoat-tō͘ kái-koat Tâi-gí bûn-ha̍k su-siá ê būn-tê.
這個四年級的男孩子，,這个四年的查埔囡仔，,"tsit ê sì-nî ê tsa-poo gín-á,","chit ê sì-nî ê cha-po͘ gín-á,"
他卻被迫上演獻地圖的侮辱戲碼。,伊煞著被逼扮演獻地圖的侮辱戲。,i suah tio̍h pī pik pān-ián hiàn tuē-tôo ê bú-lio̍k hì.,i soah tio̍h pī pek pān-ián hiàn tōe-tô͘ ê bú-lio̍k hì.
或是尋寶，,抑是揣寶貝，,"a̍h-sī tshuē pó-puè,","a̍h-sī chhōe pó-pòe,"
有做紅龜粿，,有做紅龜粿，,"ū tsò âng-ku-kué,","ū chò âng-ku-kóe,"
今日我們才能有進一步討論、,今仔日咱才有通進一步討論、,"kin-á-ji̍t lán tsiah ū-thang tsìn-tsi̍t-pōo thó-lūn,","kin-á-ji̍t lán chiah ū-thang chìn-chi̍t-pō͘ thó-lūn,"
一邊哼歌一邊跑回家。,那哼歌那走轉去厝內。,ná hainn kua ná tsáu tńg-khì tshù-lāi.,ná haiⁿ koa ná cháu tńg-khì chhù-lāi.
這些，我也不是完全看不懂，,遮的，我嘛毋是全然看無，,"tsia--ê, guá mā m̄ sī tsuân-jiân khuànn-bô,","chia--ê,góa mā m̄ sī choân-jiân khòaⁿ-bô,"
奇不奇怪，請大家判斷。,奇怪無奇怪，請逐家判斷。,"kî-kuài bô kî-kuài, tshiánn ta̍k-ke phuànn-tuàn.","kî-koài bô kî-koài,chhiáⁿ ta̍k-ke phòaⁿ-toàn."
喂！同學！,喂！同學！,ueh! tông-o̍h!,oeh!tông-o̍h!
你們這些小孩子可以不理他，,恁遮的囡仔會當莫插伊，,"lín tsia-ê gín-á ē-tàng mài tshap--i,","lín chia-ê gín-á ē-tàng mài chhap--i,"
他說：「爸爸！,伊講：「阿爸！,i kóng: “A-pa!,i kóng:“A-pa!
第三件是四十多年前的事，,第三件是四十外年前的代誌，,"tē-sann kiānn sī sì-tsa̍p-guā nî tsîng ê tāi-tsì,","tē-saⁿ kiāⁿ sī sì-cha̍p-gōa nî chêng ê tāi-chì,"
什麼 kop-ioh-á？,啥物 kop-ioh-á？,siánn-mih kop-ioh-á?,siáⁿ-mih kop-ioh-á?
接下來吃晚餐，,紲落去食暗頓，,"suà--lo̍h-khì tsia̍h àm-tǹg,","sòa--lo̍h-khì chia̍h àm-tǹg,"
卻沒人出席，,煞無人出席，,"suah bô lâng tshut-si̍k,","soah bô lâng chhut-se̍k,"
壁角一疊一疊舊報紙跟厚紙板，,壁角一疊一疊舊報紙佮紙坯，,"piah-kak tsi̍t tha̍h tsi̍t tha̍h kū pò-tsuá kah tsuá-phe,","piah-kak chi̍t tha̍h chi̍t tha̍h kū pò-chóa kah chóa-phe,"
阿生也舉手。,阿生嘛攑手。,A-sing mā gia̍h-tshiú.,A-seng mā gia̍h-chhiú.
田中間？,田中央？,Tshân-tiong-ng?,Chhân-tiong-ng?
很多工廠人手不足，,真濟工場欠工，,"tsin tsuē kang-tiûnn khiàm kang,","chin chōe kang-tiûⁿ khiàm kang,"
長期推動台語文運動的李江却台語文教基金會主張員工薪水要比外面更高，,長期推捒台語文運動的李江却台語文教基金會主張職員薪水愛比外口較懸，,"tn̂g-kî thui-sak Tâi-gí-bûn ūn-tōng ê Lí Kang-khioh Tâi-gí bûn-kàu ki-kim-huē tsú-tiunn tsit-guân sin-suí ài pí guā-kháu khah kuân,","tn̂g-kî thui-sak Tâi-gí-bûn ūn-tōng ê Lí Kang-khioh Tâi-gí bûn-kàu ki-kim-hōe chú-tiuⁿ chit-goân sin-súi ài pí gōa-kháu khah koân,"
「奶奶，沒關係啦。,「阿媽，無要緊啦。,"“a-má, bô iàu-kín--lah.","“a-má,bô iàu-kín--lah."
請問，這本書多少錢？,請問，這本冊偌濟錢？,"Tshiánn-mn̄g, tsit pún tsheh guā-tsē tsînn?","Chhiáⁿ-mn̄g,chit pún chheh gōa-chē chîⁿ?"
從事臺語文能真正有錢賺、有成就、又有好名聲。,做臺語文真正有錢趁、有成就、閣好名聲。,"tsuè Tâi-gír-bûn tsin-tsiànn ū tsînn thàn, ū sîng-tsiū, koh hó miâ-siann.","chòe Tâi-gír-bûn chin-chiàⁿ ū chîⁿ thàn,ū sêng-chiū,koh hó miâ-siaⁿ."
啊他們這裡的孩子可能很土喔，,啊𪜶遐的囡仔可能真倯喔，,"ah in hia-ê gín-á khó-lîng tsin sông--ooh,","ah in hia-ê gín-á khó-lêng chin sông--o͘h,"
鄉巴佬教天龍人，,庄跤戇教都市倯，,"tsng-kha-gōng kà too-tshī-sông,","chng-kha-gōng kà to͘-chhī-sông,"
鄉下土包子教都市笨蛋，,庄跤戇教都市倯，,"tsng-kha-gōng kà too-tshī-sông,","chng-kha-gōng kà to͘-chhī-sông,"
加上太陽熾熱毒辣，,加上日頭炎炎gâu 咬--人，,"ka-siōng ji̍t-thâu iām-iām gâu kā--lâng,","ka-siōng ji̍t-thâu iām-iām gâu kā--lâng,"
作品要有競爭力、,作品愛有競爭力、,"tsok-phín ài ū kìng-tsing-li̍k,","chok-phín ài ū kèng-cheng-le̍k,"
又訂了兩套顏色相近的大紅色，,閣共訂兩套欲倚色的大紅，,"koh kā tīng nn̄g thò beh uá sik ê tuā-âng,","koh kā tēng nn̄g thò beh óa sek ê tōa-âng,"
我在電視上看到這個畫面，,我佇電視頂看著這个畫面，,"guá tī tiān-sī-tíng khuànn-tio̍h tsit ê uē-bīn,","góa tī tiān-sī-téng khòaⁿ-tio̍h chit ê ōe-bīn,"
一轉眼，,一目𥍉，,"tsi̍t-ba̍k-nih,","chi̍t-ba̍k-nih,"
寬二十五公尺、長五十公尺、深九十公分到三公尺，,闊二十五米、長五十米、深九十公分到三米，,"khuah jī-tsa̍p gōo bí, tn̂g gōo-tsa̍p bí, tshim káu-tsa̍p kong-hun kàu sann bí,","khoah jī-cha̍p gō͘ bí,tn̂g gō͘-cha̍p bí,chhim káu-cha̍p kong-hun kàu saⁿ bí,"
做為投降曹操的獻禮，,做為投降曹操的獻禮，,"tsuè-uî tâu-hâng Tsô Tshò ê hiàn-lé,","chòe-ûi tâu-hâng Chô Chhò ê hiàn-lé,"
最基本的工作就是「作品多元化」：,上基本的工課就是「作品多元化」：,Siōng ki-pún ê khang-khuè tō  sī “tsok-phín to-guân-huà”:,Siōng ki-pún ê khang-khòe tō sī“chok-phín to-goân-hòa”:
對台語文的發展會有很大的幫助。,對台語文發展會有大幫贊。,tuì Tâi-gí-bûn huat-tián ē ū tuā pang-tsân.,tùi Tâi-gí-bûn hoat-tián ē ū tōa pang-chân.
我出生在戰後嬰兒潮，,我生佇戰後紅嬰仔潮，,"guá senn tī tsiàn-āu âng-enn-á-tiâu,","góa seⁿ tī chiàn-āu âng-eⁿ-á-tiâu,"
