中文,台文,台羅
每年「嘉南大圳之父」八田與一忌日，嘉南地區各界，均會在烏山頭水庫八田與一YoichiHatta雕像前面，舉辦追思會，八田與一後代子孫，也會自日本來台灣獻花。,每年「嘉南大圳之父」八田與一做忌，嘉南地區各界，攏會佇烏山頭水庫八田與一YoichiHatta雕像頭前，舉辦追思會，八田與一後代囝孫，嘛會對日本來臺灣獻花。,muí-nî「ka-lâm-tuā-tsùn-tsi-hū」pat-tiân-ú-it tsuè-kì，ka-lâm-tuē-khu kok-kài，lóng-ē-tī oo-suann-thâu-tsuí-khòo pat-tiân-ú-it Yoichi Hatta tiau-siōng thâu-tsîng，kú-pān tui-su-huē，pat-tiân-ú-it hōo-tāi kiánn-sun，mā-ē tuì ji̍t-pún lâi-tâi-uân hiàn-hue。
為了爭取「烏山頭水庫嘉南大圳三年輪灌」，這個水利系統登錄世界文化遺產，台灣大學、台南藝術大學、嘉南農田水利會等民間社團，也將於當天發起全國連署簽名活動，上午九時三十分，在台南藝術大學圖書資訊大樓演藝廳，邀請東京大學HiroshiTakahashi教授、台灣大學教授甘俊二、賴光隆、台南藝術大學教授陳國寧等人，演講烏山頭水庫的重要價值，及申請列為世界遺產的作法等。,為著爭取「烏山頭水庫嘉南大圳三年輪灌」，這个水利系統登錄世界文化遺產，臺灣大學、臺南藝術大學、嘉南農田水利會頂民間社團，嘛欲佇當工發起全國連署簽名活動，早起九點三十分，佇臺南藝術大學圖書資訊大樓演藝廳，邀請東京大學HiroshiTakahashi教授、臺灣大學教授甘俊二、賴光隆、臺南藝術大學教授陳國寧等人，演講烏山頭水庫的重要價值，佮申請列為世界遺產的作法頂。,uī-tio̍h tsing-tshú「oo-suann-thâu-tsuí-khòo ka-lâm-tuā-tsùn sann-nî-lûn-kuàn」，tsit-ê tsuí-lī-hē-thóng ting-lo̍k sè-kài-bûn-huà-uî-sán，tâi-uân-tāi-ha̍k、tâi-lâm-gē-su̍t-tāi-ha̍k、ka-lâm lông-tiân-tsuí-lī-huē tíng bîn-kan-siā-thuân，mā-bueh-tī tng-kang huat-khí tsuân-kok liân-sū tshiam-miâ ua̍h-tāng，tsá-khí káu-tiám sann-tsa̍p-hun，tī tâi-lâm-gē-su̍t-tāi-ha̍k tôo-su-tsu-sìn tuā-lâu ián-gē-thiann，iau-tshíng tang-kiann-tāi-ha̍k Hiroshi Takahashi kàu-siū、tâi-uân-tāi-ha̍k kàu-siū kam-tsùn-jī、luā-kong-liông、tâi-lâm-gē-su̍t-tāi-ha̍k kàu-siū tân-kok-lîng tíng-lâng，ián-káng oo-suann-thâu-tsuí-khòo ê tiōng-iàu kè-ta̍t，kap sin-tshíng lia̍t-uî sè-kài-uî-sán ê tsok-huat tíng。
另外在五月八日上午十時，官田慈聖宮「陳永華參軍暨八田與一博士賢伉儷紀念室」，也將邀請YoichiHatta八田與一長孫，ShuichiHatta八田修一等人揭幕，紀念室內部還展示一份，日本統治時期戶籍謄本，證實八田與一與官田村的深厚淵源。,另外佇五月八號早起十點，官田慈聖宮「陳永華參軍佮八田與一博士翁仔某紀念室」，嘛欲邀請YoichiHatta八田與一大孫，ShuichiHatta八田修一等人揭幕，紀念室內頭猶展示一份，日本統治時期戶籍謄本，證實八田與一和官田村深厚淵源。,līng-guā tī gōo-gue̍h peh-hō tsá-khí tsa̍p-tiám，kuann-tiân tsû-sìng-kiong「tân-íng-huâ tsham-kunkap pat-tiân-ú-it phok-sū ang-á-bóo kì-liām-sik」，mā-bueh iau-tshíng Yoichi Hatta pat-tiân-ú-it tuā-sun，Shuichi Hatta pat-tiân-siu-it tíng-lâng kiat-bōo，kì-liām-sik lāi-thâu iáu tián-sī tsi̍t-hūn，ji̍t-pún thóng-tī-sî-kî hōo-tsi̍k thîng-pún，tsìng-si̍t pat-tiân-ú-it hâm kuann-tiân-tshuan tshim-kāu ian-guân。
慈聖宮主委陳俊銘表示，根據「官田鄉志」裏收錄的戶籍謄本，八田與一建造烏山頭水庫期間，就是寄居在「台南州曾文郡官田庄烏山頭一百四十五番地」，證實當時八田與一YoichiHatta是不折不扣的官田庄民，日後八田與一的夫人Sotoyo外代樹，於水庫送水口殉情後，她的遺體，亦是在官田村內的嘉南大圳尋獲，慈聖宮設置紀念室，除了表彰八田與一YoichiHatta對台灣農業，以及對農民的貢獻以外，也擁有那份「官田鄉親」的特殊情感。,慈聖宮主委陳俊銘表示，根據「官田鄉志」內收錄的戶籍謄本，八田與一起座烏山頭水庫期間，就是寄徛佇「臺南州曾文郡官田庄烏山頭一百四十五番地」，證實當時八田與一YoichiHatta是真拄真的官田庄民，日後八田與一的夫人Sotoyo外代樹，佇水庫送水口殉情後，伊的遺體，亦是佇官田村內的嘉南大圳揣著，慈聖宮設置紀念室，除了表彰八田與一YoichiHatta對臺灣農業，以及對做田人的貢獻以外，嘛擁有彼份「官田鄉親」的特殊情感。,tsû-sìng-kiong tsú-uí tân-tsùn-bîng piáu-sī，kun-kù「kuann-tiân-hiong-tsì」lāi siu-lo̍k-ê hōo-tsi̍k thîng-pún，pat-tiân-ú-it khí-tsō oo-suann-thâu-tsuí-khòo kî-kan，tsiū-sī kià-khiā tī「tâi-lâm-tsiu tsan-bûn-kūnkuann-tiân-tsng oo-suann-thâu tsi̍t-pah-sì-tsa̍p-gōo huan-tē」，tsìng-si̍t tong-sî pat-tiân-ú-it Yoichi Hatta sī tsin-tú-tsin ê kuann-tiân-tsng-bîn，ji̍t-āu pat-tiân-ú-it ê hu-jîn Sotoyo guā-tāi-tshiū，tī tsuí-khòo sàng-tsuí-kháu sûn-tsîng-āu，i-ê uî-thé，ia̍h-sī tī kuann-tiân-tshuan lāi ê ka-lâm-tuā-tsùn tshuē-tio̍h，tsû-sìng-kiong siat-tì kì-liām-sik，tû-liáu piáu-tsiong pat-tiân-ú-it Yoichi Hatta tuì tâi-uân-lông-gia̍p，í-ki̍p tuì tsuè-tshân-lâng ê kòng-hiàn í-guā，mā ióng-iú hit-hūn「kuann-tiân hiong-tshin」ê ti̍k-sû tsîng-kám。
「烏頭翁」是台灣特有種只怕白頭的雜交民視新聞記者黃明堂專訪台東縣野鳥學會總幹事王克孝指出，「烏頭翁」是台灣特有種，所以列入保育，「烏頭翁」的數量雖然很大，但是面臨了人為放生，造成「白頭翁」的雜交威脅，目前情況尚未嚴重，長久以後難保失去純種「烏頭翁」。,「烏頭觳仔」是臺灣特有種子驚白頭的十佩民視新聞記者黃明堂專訪臺東縣野鳥學會總幹事王克孝指出，「烏頭觳仔」是臺灣特有種，所以列入保育，「烏頭觳仔」的數量雖然真大，毋過面臨了人為放生，造成「白頭鵠仔」的十配威脅，目前情況猶未嚴重，長久以後難保失去純種「烏頭觳仔」。,「oo-thâu-khok-á」sī tâi-uân ti̍k-iú-tsíng tsí-kiann pe̍h-thâu-ê tsa̍p-phuèbîn-sī-sin-bûn kì-tsiá n̂g-bîng-tn̂g tsuan-hóngtâi-tang-kuān iá-tsiáu-ha̍k-huē tsóng-kàn-sū ông-khik-hàu tsí-tshut，「oo-thâu-khok-á」sī tâi-uân-ti̍k-iú-tsíng，sóo-í lia̍t-ji̍p pó-io̍k，「oo-thâu-khok-á」ê sòo-liōng sui-jiân tsin-tuā，m̄-kò bīn-lîm-liáu jîn-uî hòng-sing，tsō-sîng「pe̍h-thâu-khok-á」ê tsa̍p-phuè ui-hia̍p，bo̍k-tsiân tsîng-hóng iah-buē giâm-tiōng，tn̂g-kú í-āu lân-pó sit-khì sûn-tsíng「oo-thâu-khok-á」。
「烏頭翁」只有分布在台灣的東半部，以及屏東以南的區域，以外的地區大多數為「白頭翁」。,「烏頭觳仔」干焦分佈佇臺灣的東半部，以及屏東以南的區域，以外的地區大多數為「白頭鵠仔」。,「oo-thâu-khok-á」kan-na hun-pòo-tī tâi-uân-ê tang-puànn-pōo，í-ki̍p pîn-tong í-lâm-ê khu-hi̍k，í-guā-ê tē-khu tuā-to-sòo-uî「pe̍h-thâu-khok-á」。
「烏頭翁」是中低海拔的鳥類，台東的樹林、果園、公園都可以見到牠們的蹤影；「白頭翁」的生活區域比「烏頭翁」更廣，隨著放生侵入「烏頭翁」的領域，出現雜交品種。,「烏頭觳仔」是中低海拔的鳥類，臺東的樹林、果子園、公園攏會用看著𪜶的影跡；「白頭鵠仔」的生活區域比「烏頭觳仔」較闊，綴著放生侵入「烏頭觳仔」的領域，出現十配品種。,「oo-thâu-khok-á」sī tiong-kē-hái-pua̍t ê tsiáu-luī，tâi-tang ê tshiū-nâ、kué-tsí-hn̂g、kong-hn̂g lóng-ē-īng khuànn-tio̍h in-ê iánn-tsiah；「pe̍h-thâu-khok-á」ê sing-ua̍h khu-hi̍k pí「oo-thâu-khok-á」khah-khuah，tuè-tio̍h hòng-sing tshim-ji̍p「oo-thâu-khok-á」ê líng-hi̍k，tshut-hiān tsa̍p-phuè phín-tsíng。
「烏頭翁」的長像與生態習性，與「白頭翁」極為類似，不同地方在他們的頭頂，「烏頭翁」整個頭頂是黑色的，「白頭翁」有白色毛塊。,「烏頭觳仔」的款頭和生態癖性，和「白頭鵠仔」真親像，無仝所在佇𪜶的頭頂，「烏頭觳仔」規个頭頂是烏色的，「白頭鵠仔」有白色門草。,「oo-thâu-khok-á」ê khuánn-thâu hâm senn-thài phiah-sìng，hâm「pe̍h-thâu-khok-á」tsin-tshin-tshiūnn，bô-kâng sóo-tsāi tī in-ê thâu-tíng，「oo-thâu-khok-á」kui-ê thâu-tíng sī oo-sik-ê，「pe̍h-thâu-khok-á」ū pe̍h-sik mn̂g-tsháu。
王克孝說，台東縣野鳥學會接受林務局委託，從四月起到年底，進行台東地區「烏頭翁」與「白頭翁」的調查，捕捉外來的「白頭翁」放回西部區域，目前確實發現了，少數的「白頭翁」及「雜頭翁」，可見「烏頭翁」確實面臨了基因雜化威脅。,王克孝講，臺東縣野鳥學會接受林務局委託，對四月起到年尾，進行臺東地區「烏頭觳仔」和「白頭鵠仔」的調查，掠外來的「白頭鵠仔」放倒轉西部區域，目前確實發現了，少數的「白頭鵠仔」佮「十頭觳仔」，可見「烏頭觳仔」確實面臨了基因雜化威脅。,ông-khik-hàu kóng，tâi-tang-kuān iá-tsiáu-ha̍k-huē tsiap-siū lîm-bū-kio̍k uí-thok，tuì sì-gue̍h-khí kàu-nî-bué，tsìn-hîng tâi-tang-tē-khu「oo-thâu-khok-á」hâm「pe̍h-thâu-khok-á」ê tiau-tsa，lia̍h guā-lâi-ê「pe̍h-thâu-khok-á」pàng-tò-tńg se-pōo khu-hi̍k，bo̍k-tsiân khak-si̍t huat-hiān-liáu，tsió-sòo-ê「pe̍h-thâu-khok-á」kap「tsa̍p-thâu-khok-á」，khó-kiàn「oo-thâu-khok-á」khak-si̍t bīn-lîm-liáu ki-in tsa̍p-huà ui-hia̍p。
王克孝他說，此次計畫的調查範圍遍及全台東，目前發現，純種的「烏頭翁」數量仍然佔絕大多數，捕捉到「白頭翁」數量還是個位數，另外有少數「雜頭翁」，但是已經證明，「烏頭翁」、「白頭翁」的雜交現象，如果民眾買動物放生的觀念不改，繼續買「白頭翁」放生到台東，長期下來，必然危害特有種「烏頭翁」的基因。,王克孝伊講，這擺計畫的調查範圍遍及全臺東，目前發現，純種的「烏頭觳仔」數量猶原佔絕大多數，掠著「白頭鵠仔」數量猶是三五隻，另外有少數「十頭觳仔」，毋過已經證明，「烏頭觳仔」、「白頭鵠仔」的十配現象，如果民眾買動物放生的觀念無改，繼續買「白頭鵠仔」放生到臺東，長期落來，必然危害特有種「烏頭觳仔」的基因。,ông-khik-hàu i-kóng，tsit-pái kè-uē ê tiau-tsa huān-uî piàn-ki̍p tsuân-tâi-tang，bo̍k-tsiân huat-hiān，sûn-tsíng-ê「oo-thâu-khok-á」sòo-liōng iu-guân tsiàm tsua̍t-tuā-to-sòo，lia̍h-tio̍h「pe̍h-thâu-khok-á」sòo-liōng iáu-sī sann-gōo-tsiah，līng-guā-ū tsió-sòo「tsa̍p-thâu-khok-á」，m̄-kò í-king tsìng-bîng，「oo-thâu-khok-á」、「pe̍h-thâu-khok-á」ê tsa̍p-phuè hiān-siōng，jû-kó bîn-tsiòng bé tōng-bu̍t hòng-sing ê kuan-liām bô-kái，kè-sio̍k bé「pe̍h-thâu-khok-á」hòng-sing kàu tâi-tang，tn̂g-kî-lo̍h-lâi，pit-jiân guî-hāi ti̍k-iú-tsíng「oo-thâu-khok-á」ê ki-in。
台灣人的氣作者Freddy「閃靈樂團」主唱現在的台灣，我能夠享受，這樣的一個下午，實在是很奢侈。,臺灣人的氣作者Freddy「閃靈樂團」主唱這陣的臺灣，我會得享受，按呢的一个下晡，實在是真車鼠。,tâi-uân-lâng ê khìtsok-tsiá Freddy「siám-lîng ga̍k-thuân」tsú-tshiùnntsit-tsūn-ê tâi-uân，guá-ē-tit hiáng-siū，án-ne-ê tsi̍t-ê ē-poo，si̍t-tsāi-sī tsin-tshia-tshí。
坐在「逆轉」本部裡面，四周掛著鄭自才先生的畫作，音響播送著，濁水溪公社的新專輯「藍寶石」，在這個「台」到炸掉的氣氛中，閱讀著陳義仁牧師的漫畫，不時竊笑、傻笑、狂笑。,坐佇「逆轉」本部內面，四箍圍掛著鄭自才先生的畫作，音響播送著，濁水溪公社的新專輯「藍寶石」，佇這个「台」到炸掉的氣氛中，閱讀著陳義仁牧師的尪仔圖，不時暗笑、戇戇笑、狂笑。,tsē-tī「gi̍k-tsuán」pún-pōo lāi-bīn，sì-khoo-uî kuà-tio̍h tēnn-tsū-tsâi sian-sinn ê uē-tsok，im-hióng pò-sàng-tio̍h，lô-tsuí-khue-kong-siā ê sin-tsuan-tsip「nâ-pó-tsio̍h」，tī tsit-ê「tâi」kàu tsà-tiāu-ê khì-hun-tiong，ua̍t-tho̍k-tio̍h tân-gī-jîn bo̍k-su ê ang-á-tôo，put-sî àm-tshiò、gōng-gōng-tshiò、kông-tshiò。
平常三不五時，會在報紙上，看到陳義仁牧師的四格政治諷刺漫畫，這次可以一口氣看完一整本，將近兩百篇，更加深深感受到作品的精髓。,平常三不五是，會佇報紙頂，看著陳義仁牧師的四格政治剾洗尪仔圖，這擺會用一睏看完規本，欲倚兩百篇，閣較深深感受著作品的精髓。,pîng-siâng sam-put-gōo-sī，ē-tī pò-tsuá-tíng，khuànn-tio̍h tân-gī-jîn bo̍k-su ê sì-keh tsìng-tī khau-sué ang-á-tôo，tsit-pái ē-īng tsi̍t-khùn khuànn-uân kui-pún，beh-uá nn̄g-pah-phinn，koh-khah tshim-tshim kám-siū-tio̍h tsok-phín ê tsing-tshué。
「扛去種」、「畫虎畫蘭」、「現吃現好勢」、「隨來隨轉去」、「夭壽骨」、「不死鬼」…等等，豐富的台灣口語，充滿了整本漫畫，內容簡樸、詼諧，沒有沉重複雜的政治論述，道理自在生活之中，這就是最令人感動的地方。,「扛去種」、「畫虎畫難」、「現食現好勢」、「隨來隨轉去」、「夭壽骨」、「不死鬼」…等等，豐富的臺灣口語，充滿了規本尪仔圖，內容簡樸、笑詼，無沉重複雜的政治論述，道理自在生活之中，這就是上予人感動的所在。,「kng-khì-tsìng」、「uē-hóo-uē-lān」、「hiān-tsia̍h hiān-hó-sè」、「suî-lâi suî-tńg-khì」、「iáu-siū-kut」、「put-sú-kuí」…tíng-tíng，hong-hù-ê tâi-uân-kháu-gí，tshiong-buán-liáu kui-pún ang-á-tôo，luē-iông kán-phok、tshiò-khue，bô tiâm-tāng ho̍k-tsa̍p-ê tsìng-tī-lūn-su̍t，tō-lí tsū-tsāi sing-ua̍h-tsi-tiong，tsit-tsiū-sī siōng-hōo-lâng kám-tōng-ê sóo-tsāi。
台灣人的創作者，常常有一個特質，可以說是粗獷的創造性；前衛音樂團體濁水溪公社如此，陳義仁牧師的漫畫也是這樣。,臺灣人的創作者，定定有一个特質，會用講是粗沖的創作姓；前衛音樂團體濁水溪公社按呢，陳義仁牧師的尪仔圖嘛是這款。,tâi-uân-lâng ê tshòng-tsok-tsiá，tiānn-tiānn ū-tsi̍t-ê ti̍k-tsit，ē-īng-kóng sī tshoo-tshiâng-ê tshòng-tsok-sìng；tsiân-uē im-ga̍k-thuân-thé lô-tsuí-khue-kong-siā án-ni，tân-gī-jîn bo̍k-su ê ang-á-tôo mā-sī tsit-khuán。
他們不像學院派，或是追逐市場的名人、學者，眉眉角角、深奧的道理講歸堆，說是細緻有深度也可以，但是要講到感動的力量，其實還差了一大氣。,𪜶無像學院派，抑是逐市場的名人、學者，暝鋩角角、深奧的道理講歸堆，講是幼路有深度嘛會用，毋過欲講到感動的力量，其實要差了一大氣。,in bô-tshiūnn ha̍k-īnn-phài，ah-sī jiok tshī-tiûnn ê bîng-jîn、ha̍k-tsiá，mê-mê-kak-kak、tshim-ò-ê tō-lí kóng-kui-tui，kóng-sī iù-lōo ū-tshim-tōo mā-ē-īng，m̄-koh bueh-kóng-kàu kám-tōng-ê li̍k-liōng，kî-si̍t iàu-tsha-liáu tsi̍t-tuā-khuì。
雖然這是一本政治漫畫，我覺得它的精義，更是代表著一種台灣的平民漫畫，有一種淡淡的甜味，還有一種台灣人的氣。,雖然這是一本政治尪仔圖，我感覺伊的精義，較是代表著一種臺灣的平民尪仔圖，有一種汫汫的甜味，要有一種臺灣人的氣。,sui-jiân tsit-sī tsi̍t-pún tsìng-tī ang-á-tôo，guá kám-kak i-ê tsing-gī，khah-sī tāi-piáu-tio̍h tsi̍t-tsióng tâi-uân-ê pîng-bîn ang-á-tôo，ū-tsi̍t-tsióng tsiánn-tsiánn-ê tinn-bī，iàu-ū tsi̍t-tsióng tâi-uân-lâng-ê-khì。
白色恐怖時期資料遭丟棄調查局坦承管理疏失。媒體披露，法務部調查局「安康接待室」，發現丟棄的白色恐怖時期資料，民進黨立委翁金珠等人，今天前往視察。,白色恐怖時期資料遭㧒角調查局坦承管理衰瑟。媒體披露，法務部調查局「安康接待室」，發現血角的白色恐怖時期資料，民進黨立委翁金珠等人，今仔日前往視察。,pe̍h-sik-khióng-pòo sî-kî tsu-liāu tso-hiat-kak tiau-tsa-kio̍k thán-sîng kuán-lí sue-sit. muî-thé phi-lōo，huat-bū-pōo tiau-tsa-kio̍k「an-khong tsiap-thāi-sik」，huat-hiān hiat-kak-ê pe̍h-sik-khióng-pòo sî-kî tsu-liāu，bîn-tsìn-tóng-li̍p-uí ong-kim-tsu tíng-lâng，kin-á-ji̍t tsiân-óng sī-tshat。
調查局副局長蔡中鈺坦承，管理上有重大疏失，將把資料整理後交給國家檔案局。,調查局副局長蔡中玉坦承，管理上有重大疏失，欲共資料整理後交予國家檔案局。,tiau-tsa-kio̍k hù-kio̍k-tiúnn tshuà-tiong-gio̍k thán-sîng，kuán-lí-siōng ū tiōng-tāi soo-sit，bueh-kā tsu-liāu tsíng-lí-āu kau-hōo kok-ka-tòng-àn-kio̍k。
民主進步黨的立委翁金珠、陳亭妃和林淑芬，上午前往「安康接待室」視察，但是調查局及轄區警察，早已經進行管制，除了立委，其他媒體都被管制在外，禁止入內採訪。,民主進步黨的立委翁金珠、陳亭妃佮啉淑芬，早起前往「安康接待室」視察，但是調查局佮轄區警察，早已經進行管制，除了立委，其他媒體攏被管制在外，禁止入內採訪。,bîn-tsú-tsìn-pōo-tóng ê li̍p-uí ong-kim-tsu、tân-tîng-hui kap lim-siok-hun，tsá-khí tsiân-óng「an-khong tsiap-thāi-sik」sī-tshat，tān-sī tiau-tsa-kio̍k kap hat-khu kíng-tshat，tsá-í-king tsìn-hîng kuán-tsè，tû-liáu li̍p-uí，kî-thann muî-thé lóng-pī kuán-tsè tsāi-guā，kìm-tsí ji̍p-lāi tshái-hóng。
因為媒體報導，已經形同廢墟的「安康接待室」裡面，存放許多白色恐怖時期，相關的機密檔案資料，但是調查局竟然放任遊民進出，立委林淑芬表示，這些都是歷史見證及國家級文獻，主管機關已經違反檔案法，應該要追究責任。,因為媒體報導，已經形同廢墟的「安康接待室」內面，存囥真濟白色恐怖時期，相關的機密檔案資料，但是調查局竟然放任遊民進出，立委啉淑芬表示，遮的攏是歷史見證佮國家級文獻，主管機關已經違反檔案法，應該愛追究責任。,in-uī muî-thé pò-tō，í-king hîng-tông huè-hi ê「an-khong tsiap-thāi-sik」lāi-bīn，tshûn-khǹg tsin-tsuē pe̍h-sik-khióng-pòo sî-kî，siong-kuan-ê ki-bi̍t tòng-àn tsu-liāu，tān-sī tiau-tsa-kio̍k kìng-jiân hòng-jīm iû-bîn tsìn-tshut，li̍p-uí lim-siok-hun piáu-sī，tsiah-ê lóng-sī li̍k-sú kiàn-tsìng kap kok-ka-kip bûn-hiàn，tsú-kuán-ki-kuan í-king uî-huán tòng-àn-huat，ìng-kai-ài tui-kiù tsik-jīm。
陳亭妃表示，調查局指責消息曝光是媒體非法闖入，根本對記者不公平，對於今天被阻擋的媒體更加是不公平。,陳亭妃表示，調查局指責消息曝光是媒體非法傱入，根本對記者無公平，對於今仔日被阻擋的媒體閣較是無公平。,tân-tîng-hui piáu-sī，tiau-tsa-kio̍k tsí-tsik siau-sit pho̍k-kng sī muî-thé hui-huat-tsông-ji̍p，kin-pún tuì kì-tsiá bô-kong-pîng，tuì-î kin-á-ji̍t pī-tsóo-tòng ê muî-thé koh-khah-sī bô-kong-pîng。
李遠哲表示司法枉顧人權。已經被收押一百二十九天的前總統陳水扁，再度還押，讓前中央研究院院長李遠哲終於忍不住開砲，他痛批司法單位，全世界民主國家，沒有一個司法單位像台灣一樣，不顧人權，竟然把前總統陳水扁一關再關，不過，他也建議陳前總統和家人，應該要向社會道歉，把匯往海外的錢匯回來。,李遠哲表示司法枉顧人權。已經被收押一百二十九工的前總統陳水扁，閣再還押，予前中央研究院院長李遠哲總算忍袂牢開砲，伊暢批司法單位，全世界民主國家，無一个司法單位像臺灣相仝，無顧人權，竟然共前總統陳水扁一關再關，不過，伊嘛建議陳前總統佮厝內人，應該愛向社會道歉，共回往海外的錢回轉來。,lí-uán-tiat piáu-sī su-huat óng-kòo jîn-kuân. í-king pī-siu-ah tsi̍t-pah jī-tsa̍p-káu-kang ê tsîng-tsóng-thóng tân-tsuí-pínn，koh-tsài huân-ah，hōo tsîng tiong-iang-gián-kiù-īnn-īnn-tiúnn lí-uán-tiat tsóng-sǹg jím-bē-tiâu khui-phàu，i thiòng-phue su-huat-tan-uī，tsuân-sè-kài bîn-tsú-kok-ka，bô tsi̍t-ê su-huat-tan-uī tshiūnn tâi-uân sio-kāng，bô-kòo jîn-kuân，kìng-jiân kā tsîng-tsóng-thóng tân-tsuí-pínn it-kuainn tsài-kuainn，put-kò，i mā kiàn-gī tân-tsîng-tsóng-thóng kap tshù-lāi-lâng，ìng-kai ài-hiòng siā-huē tō-khiam，kā huê-óng hái-guā-ê tsînn huê-tńg-lâi。
李遠哲出席中央研究院重大論文發表會，原本帶著好心情參加，但是一想到前總統陳水扁，又再還押看守所，終於忍不住，把心中的話一吐為快。,李遠哲出席中央研究院重大論文發表會，原本帶著好心情參加，毋過一想著前總統陳水扁，又閣還押看守所，總算忍袂牢，共內心的話一吐為快。,lí-uán-tiat tshut-si̍k tiong-iang-gián-kiù-īnn tiōng-tāi lūn-bûn huat-piáu-huē，guân-pún tài-tio̍h hó-sim-tsîng tsham-ka，m̄-koh tsi̍t-siūnn-tio̍h tsîng-tsóng-thóng tân-tsuí-pínn，iū-koh huân-ah khàn-siú-sóo，tsóng-sǹg jím-bē-tiâu，kā lāi-sim-ê-uē it-thòo-uî-khuài。
李遠哲左批司法單位，右打政治掮客，李遠哲大力為陳水扁喊屈，但是也給了一個良心建議。,李遠哲倒批司法單位，正拍政治牽猴仔，李遠哲大力為陳水扁喝冤枉，毋過嘛予了一个良心建議。,lí-uán-tiat tò-phe su-huat-tan-uī，tsiànn-phah tsìng-tī khan-kâu-á，lí-uán-tiat tāi-li̍k uī tân-tsuí-pínn huah-uan-óng，m̄-kò mā hōo-liáu tsi̍t-ê liông-sim kiàn-gī。
過去力挺陳水扁的李遠哲，有痛心，有感慨，但是看到馬英九政府，上任一年的所作所為，他話題一轉批起馬英九，李遠哲只用一個市井小民的角色，希望馬英九政府也能夠聽聽他的心聲。,過去力挺陳水扁的李遠哲，有痛心，有感慨，毋過看著馬英九政府，上任一年的所作所為，伊話題一踅批起馬英九，李遠哲只用一个普通百姓的角色，希望馬英九政府嘛會通聽聽伊的心聲。,kuè-khì li̍k-thíng tân-tsuí-pínn ê lí-uán-tiat，ū-thòng-sim，ū-kám-khài，m̄-kò khuànn-tio̍h má-ing-kiú-tsìng-hú，tsiūnn-jīm tsi̍t-nî-ê sóo-tsuè-sóo-uî，i uē-tuê tsi̍t-se̍h phue-khí má-ing-kiú，lí-uán-tiat tsí-iōng tsi̍t-ê phóo-thong-peh-sènn ê kak-sik，hi-bōng má-ing-kiú-tsìng-hú mā-ē-thang thiann-thiann i-ê sim-siann。
在五一七大遊行前，李遠哲他的炮火也對準馬英九，批評馬英九一面倒傾向中國，不顧人民找不到工作的心聲，李遠哲這回挺的是民主和人權。,佇五一七大遊行前，李遠哲伊的炮火嘛對準馬英九，批評馬英九一面倒欺向中國，無顧人民揣無著工作的心聲，李遠哲這回挺的是民主佮人權。,tī gōo-it-tshit tuā-iû-hîng tsîng，lí-uán-tiat i-ê phàu-hué mā tuì-tsún má-ing-kiú，phue-phîng má-ing-kiú tsi̍t-bīn-tó khi-hiàng tiong-kok，bô-kòo jîn-bîn tshuē-bô-tio̍h kang-tsok-ê sim-siann，lí-uán-tiat tsit-huê thíng-ê sī bîn-tsú kap jîn-kuân。
三千元老人年金是獨居老人救命錢。每個月三千元的老人年金，對一般人來說並不多，不過對獨居的老人來說，這筆錢就不無小補。,三千箍老人年金是獨居序大人救命錢。每個月三千箍的老人年金，對一般人來講並無濟，不過對獨居的序大人來講，這筆錢都有淡薄幫助。,sann-tshing-khoo lāu-lâng-nî-kim sī to̍k-ki sī-tuā-lâng kiù-bīng-tsînn. muí-kóo-gue̍h sann-tshing-khoo ê lāu-lâng-nî-kim，tuì it-puann-lâng lâi-kóng pīng-bô-tsē，put-kò tuì to̍k-ki-ê sī-tuā-lâng lâi-kóng，tsit-pit-tsînn to ū-tām-po̍h-pang-tsōo。
九十二歲的葉老太太，獨居在高雄市鼓山區，在舊部落一間租來的小屋中。,九十二歲的葉老阿婆，獨居佇高雄市鼓山區，佇舊部落一間租來的細間厝仔。,káu-tsa̍p-jī-huè ê ia̍p-lāu-a-pô，to̍k-ki-tī ko-hiông-tshī kóo-san-khu，tī kū-pōo-lo̍k tsi̍t-king tsoo-lâi-ê sè-king-tshù-á。
由於子女無法照顧葉老太太，長年來，葉老太太她因為腿部疾病行動不便，每週要跑數次醫院醫治，每次耗費數百元開銷。,由餘囝兒無法照顧葉老阿婆，久年來，葉老阿婆伊因為跤腿病疼行動不便，每禮拜愛走素擺醫院醫治，每擺了數百箍開銷。,iû-û kiánn-jî bô-huat tsiàu-kòo ia̍p-lāu-a-pô，kú-nî-lâi，ia̍p-lāu-a-pô i in-uī kha-thuí pīnn-thiànn hîng-tōng-put-piān，muí-lé-pài ài-tsáu sòo-pái pīnn-īnn i-tī，muí-pái liáu sòo-pah-khoo khai-siau。
因此當葉老太太聽到，民進黨政府規劃發放老人年金時後，眼光中泛著淚水。,因此當葉老阿婆聽著，民進黨政府規劃發放老人年金是陣，目光中含著目屎。,in-tshú tng ia̍p-lāu-a-pô thiann-tio̍h，bîn-tsìn-tóng-tsìng-hú kui-uē huat-hòng lāu-lâng-nî-kim sī-tsūn，ba̍k-kng-tiong kâm-tio̍h ba̍k-sái。
