台文,台羅,中文
予伊去啦！莫插伊。,Hōo i khì--lah! Mài tshap--i. ,讓他去啦！別理他。
五領衫,gōo niá sann,五件衣服
五花十色,gōo-hue-tsa̍p-sik,五光十色、各式各樣
五四三,gōo-sì-sann,有的沒有的事情
五穀,ngóo-kok,五穀
五香,ngóo-hiang,五香
水井,tsuí-tsénn,水井
油井,iû tsénn,油井
天井,thinn-tsénn,中庭
仁者,jîn-tsiá,仁者
蝦仁,hê-jîn,蝦仁
目睭仁,ba̍k-tsiu-jîn,瞳孔
卵仁,nn̄g-jîn,蛋黃
我揀的人攏是仁仁仁的。,Guá kíng--ê lâng lóng sī jîn-jîn-jîn--ê. ,我挑選的人都是很優秀的。
這粒塗豆真仁。,Tsit lia̍p thôo-tāu tsin jîn. ,這顆花生很飽滿。
平仄,piânn-tseh,平仄
伊跋一下規个人仆落去。,I pua̍h tsi̍t-ē kui-ê lâng phak--lo̍h-khì. ,他跌得整個人撲倒在地。
冤仇,uan-siû,冤仇
仇人,siû-jîn,仇人
從到今,tsîng-kàu-tann,從前到現在、向來
今攏害了了矣！,Tann lóng hāi-liáu-liáu--ah! ,如今全完蛋了！
今才,tann-tsiah,剛才
是啥人允你這件代誌的？,Sī siánn-lâng ín lí tsit kiānn tāi-tsì--ê? ,是誰答應你這件事情的？
厝內,tshù-lāi,家裡
腹內,pak-lāi,肚子裡、內臟
一個月內,tsi̍t kò gue̍h lāi,一個月之內
內公,lāi-kong,祖父
內媽,lāi-má,祖母
內容,luē-iông,內容
內人,luē-jîn,內人
內兄,luē-hing,妻子的哥哥
內政,luē-tsìng,內政
內閣,luē-koh,內閣
公的,kang--ê,公的
阿公,a-kong,爺爺、外公
祖公,tsóo-kong,男性祖先
天公,Thinn-kong ,老天爺
孔子公,Khóng-tsú-kong,孔子
廟公,biō-kong,廟公
公海,kong-hái,公海
公物,kong-bu̍t,公物
公務人員,kong-bū jîn-uân,公務人員
伊攏總生六个後生。,I lóng-tsóng senn la̍k ê hāu-senn. ,她總共生了六個兒子。
六親不認,lio̍k-tshin put jīn,形容不留情面或者是不講情義
冇柴,phànn tshâ,質地鬆軟的木柴
伊真冇手。,I tsin phànn-tshiú. ,他花錢很大方。
頭毛縛了傷冗，強欲散去。,"Thâu-mn̂g pa̍k liáu siunn līng, kiōng-beh suànn--khì. ",頭髮綁得太鬆，快要散掉了。
最近手頭較冗，想欲加買幾領仔新衫。,"Tsuè-kīn tshiú-thâu khah līng, siūnn-beh ke bé kuí-niá-á sin sann. ",最近手頭比較寬裕，想要多買幾件新衣服。
索仔冗去矣，愛重縛。,"Soh-á līng--khì--ah, ài tîng pa̍k. ",繩子鬆掉了，要重綁。
錢愛紮較冗咧。,Tsînn ài tsah khah liōng--leh. ,錢要帶多一點。
時間閣真冗。,Sî-kan koh tsin liōng. ,時間還很充足。
凶兆,hiong-tiāu,不祥的預兆
散凶,sàn-hiong,貧窮
凶年,hiong-nî,飢荒之年
一分鐘,tsi̍t hun-tsing,一分鐘
一分錢,tsi̍t hun tsînn,一分錢
三分天註定，七分靠拍拚。,"Sann hun thinn tsù-tiānn, tshit hun khò phah-piànn. ",三分天注定，七分靠努力。取自流行歌曲歌詞。
𪜶爸仔囝佇車頭分開。,In pē-á-kiánn tī tshia-thâu hun-khui. ,他們父子在車站分手。
分帖仔,pun thiap-á,發帖子
分簿仔,pun phōo-á,發簿子
這箱柑仔予恁去分。,Tsit siunn kam-á hōo lín khì pun.,這箱橘子給你們分配。
一半分你,tsi̍t-puànn pun--lí,一半分你
好心的頭家！十箍銀來分我好無？,Hó-sim ê thâu-ke! Tsa̍p-khoo-gîn lâi pun--guá hó--bô? ,好心的老闆！可以施捨十塊錢給我嗎？
彼个乞食逐工攏去車頭共人分。,Hit ê khit-tsia̍h ta̍k-kang lóng khì tshia-thâu kā lâng pun.,那個乞丐每天都去車站向人乞討。
家己若袂生，會使去分別人的囡仔來飼。,"Ka-kī nā bē senn, ē-sái khì pun pa̍t-lâng ê gín-á lâi tshī. ",自己若是生不出孩子，乾脆去領養別人家的孩子。
分人做新婦仔。,Pun lâng tsò sin-pū-á. ,給人領養當童養媳。
伊共西瓜切做四塊。,I kā si-kue tshiat tsò sì tè. ,他把西瓜切成四塊。
一勻塗,tsi̍t ûn thôo,一層土
頂下勻,tíng-ē ûn,前後輩份
彼隻露螺的頭勼入去殼內底矣。,Hit tsiah lōo-lê ê thâu kiu ji̍p-khì khak lāi-té--ah. ,那隻蝸牛的頭縮進殼裡面去了。
勼跤勼手,kiu-kha kiu-tshiú,畏首畏尾
你去共交落佇眠床跤的物件勾出來。,Lí khì kā ka-la̍uh tī bîn-tshn̂g-kha ê mi̍h-kiānn kau--tshut-lâi. ,你去將掉在床底下的東西勾出來。
彼个查某真𠢕用目睭共人勾。,Hit ê tsa-bóo tsin gâu iōng ba̍k-tsiu kā lâng kau. ,那個女人很會用眼神引誘別人。
你袂曉寫的題目就先勾起來。,Lí bē-hiáu siá ê tê-bo̍k tō sing kau--khí-lâi. ,你不會寫的題目先打勾作記號。
伊咧做中人，你若欲買厝就去揣伊。," I teh tsò tiong-lâng, lí nā beh bé tshù tō khì tshuē i. ",你如果要買房子，就去找他當介紹人。
我都允人矣，袂使反悔。,"Guá to ín--lâng--ah, bē-sái huán-hué. ",我已經答應人家了，不能反悔。
內山姑娘欲出嫁。,Lāi-suann koo-niû beh tshut-kè. ,山裡的姑娘要出嫁了。流行歌曲名。
伊足有內才的。,I tsiok ū lāi-tsâi--ê. ,他很有內涵。
毋通交不三不四的朋友。,M̄-thang kau put-sam-put-sù ê pîng-iú. ,不要結交不正經的朋友。
貓的奸臣，鬍的不仁。,"Niau--ê kan-sîn, hôo--ê put-jîn. ",麻臉的人必奸，滿臉鬍子的人不仁厚。
伊真五仁。,I tsin ngóo-jîn. ,他很詼諧。
激五仁,kik-ngóo-jîn,說笑話、插科打諢
五仁月餅,ngóo-jîn gue̍h-piánn,五仁月餅
𪜶內公是醫生。,In lāi-kong sī i-sing. ,他的祖父是醫生。
遮的餅予恁兩个人公分。,Tsia-ê piánn hōo lín nn̄g ê lâng kong-pun. ,這些餅乾讓你們兩個人平分。
你有幾公分懸？,Lí ū kuí kong-hun kuân? ,你幾公分高呢？
這條路真歹行，你著勻勻仔行。,"Tsit tiâu lōo tsin pháinn kiânn, lí tio̍h ûn-ûn-á kiânn. ",這條路很難走，你要慢慢地走。
用勻勻仔火落去煮。,Iōng ûn-ûn-á-hué lo̍h-khì tsú. ,用小火慢煮。
這領洋裝不止五千箍。,Tsit niá iûnn-tsong put-tsí gōo-tshing khoo. ,這件洋裝不只是五千元而已。
文化中心,bûn-huà tiong-sim,文化中心
伊是一个外表土直、內心溫柔的人。,"I sī tsi̍t ê guā-piáu thóo-ti̍t, luē-sim un-jiû ê lâng. ",他是一個外表粗魯直率、內心溫柔的人。
伊用錢真冇手。,I iōng tsînn tsin phànn-tshiú. ,他用錢很大方。
未曾做就勼手，實在無路用。,"Buē-tsîng tsò tō kiu-tshiú, si̍t-tsāi bô-lōo-īng. ",還沒開始做就停止，實在很沒用。
這領衫洗了勼水去矣。,Tsit niá sann sé-liáu kiu-tsuí--khì--ah. ,這件衣服洗過以後變得縮小了。
照品照行，袂使勼水。,"Tsiàu phín tsiàu kiânn, bē-sái kiu-tsuí. ",按預先講好的來做，不可縮水。
紅嬰仔無六月天。,Âng-enn-á bô la̍k-gue̍h-thinn. ,嬰兒無六月天。意為嬰兒抵抗力弱，容易感冒，即使在六月大熱天也要保暖，不得疏忽。
你穿這領衫閣不止仔媠。,Lí tshīng tsit niá sann koh put-tsí-á suí. ,你穿這件衣服相當漂亮。
今年六月冬稻仔誠飽穗。,Kin-nî la̍k-gue̍h-tang tiū-á tsiânn pá-suī. ,今年第一期稻作稻穀很飽滿。
作穡人佇六月冬攏會較無閒。,Tsoh-sit-lâng tī la̍k-gue̍h-tang lóng ē khah bô-îng. ,農夫們在六月的收穫季都會比較忙。
阮小弟上愛看丑仔表演。,Guán sió-tī siōng ài khuànn thiú-á piáu-ián. ,我弟弟最愛看丑角表演。
我今仔才入門爾爾。,Guá tann-á tsiah ji̍p mn̂g niā-niā. ,我才剛剛進門而已。
今仔日是我的生日。,Kin-á-ji̍t sī guá ê senn-ji̍t. ,今天是我的生日。
你著勻仔是，毋通食緊挵破碗。,"Lí tio̍h ûn-á-sī, m̄-thang tsia̍h kín lòng-phuà uánn. ",你要慢慢來，以免欲速則不達。
中古車,tiong-kóo tshia,中古車
中古時代,tiong-kóo sî-tāi,中古時代
無公平,bô kong-pênn,不公平
伊講欲中立，兩爿攏無愛參加。,"I kóng beh tiong-li̍p, nn̄g pîng lóng bô-ài tsham-ka. ",他說要中立，兩邊都不參加。
丹田無力,tan-tiân bô la̍t,氣虛
公用電話,kong-iōng tiān-uē,公共電話
你愛提予伊好。,Lí ài the̍h hōo i hó. ,你要拿好。
代誌會成袂成，介在你欲做毋做。,"Tāi-tsì ē sîng bē sîng, kài-tsāi lí beh tsò m̄ tsò. ",事情能否成功，在於你是否願意去做。
公共場所,kong-kiōng tiûnn-sóo,公共場所
伊今年十歲。,I kin-nî tsa̍p huè. ,他今年十歲。
這種代誌你毋著冗早講，這馬欲反悔已經袂赴矣。,"Tsit tsióng tāi-tsì lí m̄-tio̍h liōng-tsá kóng, tsit-má beh huán-hué í-king bē-hù--ah. ",這種事你應該要趁早講，現在要反悔已經來不及了。
謼！伊哪會遮不死鬼！,Hooh! I ná ē tsiah put-sú-kuí! ,天啊！他怎麼這麼不要臉！
我對汽車真內行。,Guá tuì khì-tshia tsin lāi-hâng. ,我對車子很在行。
若講著車，伊是內行的。,"Nā kóng-tio̍h tshia, i sī lāi-hâng--ê. ",說到車子，他可是行家。
雖然今仔日是風颱天，不而過你嘛是愛去做工課。,"Sui-jiân kin-á-ji̍t sī hong-thai-thinn, put-jî-kò lí mā sī ài khì tsò khang-khuè. ",雖然今天是颱風天，不過你還是得去工作。
伊不但寄付錢，閣去做義工。,"I put-tān kià-hù tsînn, koh khì tsò gī-kang. ",他不只捐錢，還去當義工。
逐家攏有通分伻，毋免相爭。,"Ta̍k-ke lóng ū thang pun-phenn, m̄-bián sio-tsenn. ",大家都分配得到，不用相爭。
咱共伊鬥分伻淡薄仔，伊較袂遐忝。,"Lán kā i tàu pun-phenn--tām-po̍h-á, i khah bē hiah thiám. ",大家幫他分擔一點，他比較不會那麼累。
這對雙生仔到底啥人是啥人，我實在無法度分別。,"Tsit tuì siang-senn-á tàu-té siánn-lâng sī siánn-lâng, guá si̍t-tsāi bô-huat-tōo hun-pia̍t. ",這對雙胞胎到底誰是誰，我實在沒辦法辨別。
伊真不孝。,I tsin put-hàu. ,他很不孝順。
不孝囝,put-hàu kiánn,不孝子
我實在無法度分身來處理別人的代誌。,Guá si̍t-tsāi bô-huat-tōo hun-sin lâi tshú-lí pa̍t-lâng ê tāi-tsì. ,我實在沒辦法分身來處理別人的事情。
伊是本尊，毋是分身。,"I sī pún-tsun, m̄ sī hun-sin. ",他是本尊，不是代理人。
公事著愛照起工做。,Kong-sū tio̍h-ài tsiàu-khí-kang tsò. ,公事要照規矩做。
這跤皮箱內底貯啥物？,Tsit kha phuê-siunn lāi-té té siánn-mih? ,這只皮箱裡面裝什麼東西？
伊佇公所食頭路。,I tī kong-sóo tsia̍h-thâu-lōo. ,他在鄉鎮市公所工作。
伊做𤆬頭的，有誠濟人不服。,"I tsò tshuā-thâu--ê, ū tsiânn tsē lâng put-ho̍k. ",他當帶頭的，有很多人不服。
你分明是咧騙我，著無？,"Lí hun-bîng sī teh phiàn--guá, tio̍h--bô? ",你很明顯地是在騙我，對不對？
不法之徒,put-huat tsi tôo,違反法律規範的人
伊是分的。,I sī pun--ê. ,她是收養的。
遮的蔥仔是我共人分的。,Tsia ê tshang-á sī guá kā lâng pun--ê. ,這些蔥是我跟別人要來的。
遮的工課攏交予你來分派。,Tsia-ê khang-khuè lóng kau hōo lí lâi hun-phài. ,這些工作都交給你來分派。
伊咧騙你，你毋通中計。,"I teh phiàn--lí, lí m̄-thang tiòng-kè. ",他在騙你，你不要落入圈套。
有穿內衫加較衛生。,Ū tshīng lāi-sann ke khah uē-sing. ,穿內衣比較衛生。
裘仔內面愛閣加穿一領膨紗衫才袂寒。,Hiû-á lāi-bīn ài koh ke tshīng tsi̍t niá phòng-se-sann tsiah bē kuânn. ,大衣裡面還要再穿一件毛衣才不會冷。
無我的允准，你袂使來阮兜。,"Bô guá ê ín-tsún, lí bē-sái lâi guán tau. ",沒有我的准許，你不可以來我家。
這个是內孫，毋是外孫。,"Tsit-ê sī lāi-sun, m̄-sī guā-sun. ",這是直系孫子，不是外孫。
這本冊的內容真淺，囡仔人嘛看有。,"Tsit pún tsheh ê luē-iông tsin tshián, gín-á-lâng mā khuànn-ū. ",這本書的內容很淺顯，小孩子也看得懂。
公家機關,kong-ka ki-kuan,公家機關
公家代誌,kong-ka tāi-tsì,公共事務
這條錢是逐家公家出的。,Tsit tiâu tsînn sī ta̍k-ke kong-ke tshut--ê. ,這筆錢是大家一起出的。
伊不時嘛咧讀冊。,I put-sî mā teh tha̍k-tsheh. ,她經常在讀書。
你看著哪會遐爾仔無元氣？,Lí khuànn tio̍h ná ē hiah-nī-á bô guân-khì? ,你看起來怎麼會那麼沒有精神呢？
我來分配恁逐家的工課。,Guá lâi hun-phuè lín ta̍k-ke ê khang-khuè. ,我來分配你們大家的工作。
暗時坐佇窗仔門邊，我攏有看著五彩的燈火閃閃爍爍。,"Àm-sî tsē tī thang-á-mn̂g pinn, guá lóng ū khuànn-tio̍h ngóo-tshái ê ting-hué siám-siám-sih-sih. ",晚上坐在窗邊，我都可以看到五彩繽紛的燈光閃爍不停。
這个囡仔誠分張。,Tsit ê gín-á tsiânn pun-tiunn. ,這個小孩很慷慨大方。
少年人毋通食毒，若無，代誌會不得了。,"Siàu-liân-lâng m̄-thang tsia̍h to̍k, nā-bô, tāi-tsì ē put-tik-liáu. ",年輕人不要去吸食毒品，不然會很嚴重。
伊英語講甲削削叫，真正不得了。,"I Ing-gí kóng kah siah-siah-kiò, tsin-tsiànn put-tik-liáu. ",他的英文說得很流利，真是了不得。
我會按呢做攏是不得已的。,Guá ē án-ne tsò lóng sī put-tik-í--ê. ,我會這樣做都是不得已的。
十二點欲食中晝矣！,Tsa̍p jī tiám beh tsia̍h tiong-tàu--ah! ,十二點要吃午餐了！
中晝飯食飽就好歇睏，毋通閣咧外口四界趖。,"Tiong-tàu-pn̄g tsia̍h-pá tō hó hioh-khùn, m̄-thang koh teh guā-kháu sì-kè-sô. ",午飯吃飽了就該休息，不要又在外面到處閒晃。
你敢有食中晝頓？,Lí kám ū tsia̍h tiong-tàu-tǹg? ,你有沒有吃午餐？
警察愛保護公眾的安全。,Kíng-tshat ài pó-hōo kong-tsiòng ê an-tsuân. ,警察要保護大眾的安全。
我來介紹恁兩个熟似。,Guá lâi kài-siāu lín nn̄g ê si̍k-sāi. ,我來引薦你們兩個認識。
介紹新產品,kài-siāu sin sán-phín,引進新產品
我行到中途就拄著伊矣。,Guá kiânn kàu tiong-tôo tō tú-tio̍h i--ah. ,我走到半路就遇見他了。
代誌已經做一半矣，你袂當佇中途反悔毋做。,"Tāi-tsì í-king tsò tsi̍t-puànn--ah, lí bē-tàng tī tiong-tôo huán-hué m̄ tsò. ",事情已經做了一半了，你不能中途就反悔不做。
這是公司內部的問題。,Tse sī kong-si luē-pōo ê būn-tê. ,這是公司內部的問題。
這月日趁較有錢，生活會較冗剩。,"Tsit-gue̍h-ji̍t thàn khah ū tsînn, sing-ua̍h ē khah liōng-siōng. ",這個月錢賺得多，生活較寬裕。
兄弟攏分散了了矣。,Hiann-tī lóng hun-suànn liáu-liáu--ah. ,兄弟各分東西了。
受訓了後，逐家會分發去無仝的單位。,"Siū-hùn liáu-āu, ta̍k-ke ē hun-huat khì bô kâng ê tan-uī. ",受訓之後，大家會分發到不同單位。
伊的成績中等，毋是蓋䆀。,"I ê sîng-tsik tiong-tíng, m̄-sī kài bái. ",他的成績中等，不會太差。
伊佮烏道勾結。,I kah oo-tō kau-kiat. ,他和黑道勾結。
你莫見講攏是一寡不答不七的話。,Lí mài kiàn kóng lóng sī tsi̍t-kuá put-tap-put-tshit ê uē. ,你別老說一些不三不四的話。
伊決定欲公開所有的代誌。,I kuat-tīng beh kong-khai sóo-ū ê tāi-tsì. ,他決定要公開所有的事情。
伊公開展覽伊的私人花園。,I kong-khai tián-lám i ê su-jîn hue-hn̂g. ,他把他的私人花園公開展覽。
年節時仔，庄頭做戲的錢攏是規庄頭公開的。,"Nî-tseh-sî-á, tsng-thâu tsò-hì ê tsînn lóng sī kui tsng-thâu kong-khui--ê. ",過年過節的時候，村莊裡頭請戲班子來演戲的錢都是大家一起分攤的。
這个是內媽，外媽蹛佇宜蘭。,"Tsit ê sī lāi-má, guā-má tuà tī Gî-lân. ",這個是奶奶，外祖母住在宜蘭。
拜公媽,pài-kong-má,祭拜祖先
一人一家代，公媽隨人祀。,"Tsi̍t lâng tsi̍t ke tāi, kong-má suî lâng tshāi. ",一人一個家庭，祖先牌位各自供奉；謂兄弟分家後，各管各的事，互不相干。
就算講你無中意，阮嘛無法度。,"Tō sǹg kóng lí bô tìng-ì, guán mā bô-huat-tōo. ",就算你不滿意，我們也沒辦法。
不義之財,put-gī tsi tsâi,不義之財
我這領衫的內裡破去矣。,Guá tsit niá sann ê lāi-lí phuà--khì--ah. ,我這件衣服的裡子破掉了。
代誌做猶未一半，袂當勼跤。,"Tāi-tsì tsò iáu-buē tsi̍t-puànn, bē-tàng kiu-kha. ",事情做不到一半，不能就此縮手。
臺北車頭內面五路的人攏有。,Tâi-pak tshia-thâu lāi-bīn ngóo-lōo ê lâng lóng ū. ,臺北車站裡面有各地來的人。
里長伯仔做人真公道。,Lí-tiúnn peh--á tsò-lâng tsin kong-tō. ,里長伯做人很公正。
價錢真公道。,Kè-tsînn tsin kong-tō. ,價錢很合理。
你有啥物不滿，做你講出來。,"Lí ū siánn-mih put-buán, tsò lí kóng--tshut-lâi. ",你有什麼不滿，儘管說出來。
有代誌不管時攏會使來揣我。,Ū tāi-tsì put-kuán-sî lóng ē-sái lâi tshuē--guá. ,有事情隨時都能來找我。
伊有一筆冇數，到今猶收袂轉來。,"I ū tsi̍t pit phànn-siàu, kàu-tann iáu siu bē tńg--lâi. ",他有一筆呆帳，到現在還是收不回來。
你著細膩，毋通公親變事主。,"Lí tio̍h sè-jī, m̄-thang kong-tshin piàn sū-tsú. ",你要小心，免得調解間反而變成當事人。
乞食欲來分錢矣。,Khit-tsia̍h beh lâi pun-tsînn--ah. ,乞丐要來要錢了。
林公館,Lîm kong-kuán,林宅
公館鄉,Kong-kuán-hiong,位於苗栗縣內
這頓飯逐家做伙分攤。,Tsit tǹg pn̄g ta̍k-ke tsò-hué hun-thuann. ,這頓飯的飯錢大家一起均攤。
人的五臟六腑攏是真重要的。,Lâng ê ngóo-tsōng-lio̍k-hú lóng sī tsin tiōng-iàu--ê. ,人的內臟是很重要的。
火化去矣！,Hué hua--khì--ah! ,火熄滅了！也引申為表示「慘了、糟了、完蛋了」的感嘆詞。
阿公的病重甲強強欲化去矣！,A-kong ê pēnn tāng kah kiōng-kiōng-beh hua--khì--ah! ,爺爺的病嚴重到快要死了！
化痰,huà-thâm,化痰
火化,hué-huà,火化
大事化小事，小事化無事。,"Tuā sū huà sió sū, sió sū huà bô sū. ",大事盡量化解成小事，小事盡量化解成沒事。
風雨快過，言語僫化。,"Hong-hōo khuài kuè, giân-gí oh huà. ",風雨很快就會過去，言語不當，很難消除。
一匹布,tsi̍t phit pòo,一匹布
單槍匹馬,Tan tshiong phit má,單槍匹馬
一升米,tsi̍t tsin bí,一升米
米升,bí tsin,米升
升天,sing-thian,升天
升旗,sing-kî,升旗
伊升起來做主任矣。,I sing khí-lâi tsò tsú-jīm--ah. ,他升遷當主任了。
升官發財,sing-kuann huat-tsâi,升官發財
午時,gōo-sî,上午十一點到下午一點
今年是壬午年。,Kin-nî sī jîm-ngóo nî. ,今年是壬午馬年。
午時,ngóo-sî,午時
中午,tiong ngóo,中午
解厄,kái-eh,解除災難
朋友,pîng-iú,朋友
反色,huán-sik,變顏色
反種,huán-tsíng,變種
反倒轉來,huán-tò-tńg--lâi,反而
造反,tsō-huán,造反
走反,tsáu-huán,逃避戰亂
反對,huán-tuì,反對
反背,huán-puē,背叛
反過來洗另外一面。,Píng--kuè-lâi sé līng guā tsi̍t bīn. ,翻過來洗另外一邊。
反身,píng sin,翻轉身體
反車,píng-tshia,翻車
伊真𠢕反變，生理愈做愈大。,"I tsin gâu píng-pìnn, sing-lí jú tsò jú tuā. ",他善於籌劃，生意越做越大。
袋仔內反一寡銀角仔出來。,Tē-á lāi píng tsi̍t-kuá gîn-kak-á tshut-lâi. ,袋子內翻一些零錢出來。
反字典,píng jī-tián,翻字典
天河,thian-hô,天河
天堂,thian-tông,天堂
順天者存，逆天者亡。,"Sūn thian--tsiá tsûn, gi̍k thian--tsiá bông. ",順天者存，逆天者亡。
天神,thian-sîn,天神
天天醉,thian-thian tsuì,天天醉
天災,thian-tsai,天災
天性,thian-sìng,天性
天頂,thinn-tíng,天頂
人咧做，天咧看。,"Lâng teh tsò, thinn teh khuànn. ",人在做，天在看。即舉頭三尺有神明，勸人不可做虧心事。
落雨天,lo̍h-hōo-thinn,下雨天
太厲害,thài lī-hāi,非常厲害
太夫人,thài-hu-jîn,古時候對他人母親的尊稱
太后,thài-hiō,尊稱皇帝的母親
大丈夫,tāi-tiōng-hu,有志氣而勇敢剛毅的男子
夫君,hu-kun,夫君
車夫,tshia hu,車伕
千夫所指,Tshian hu sóo tsí,千夫所指
時機䆀䆀，錢愈趁愈少。,"Sî-ki bái-bái, tsînn jú thàn jú tsió. ",局勢不好，錢愈賺愈少。
三尺,sann tshioh,約一公尺的長度
布尺,pòo tshioh,布尺
腰尺,io-tshioh,豬的胰臟
廿幾歲當少年。,Jia̍p kuí huè tng siàu-liân. ,二十來歲正當年輕。
引導,ín-tō,引導
引起,ín-khí,引起
引誘,ín-iú,引誘
心臟,sim-tsōng,心臟
有喙無心,ū-tshuì-bô-sim,有口無心
歹心,pháinn-sim,壞心
好心,hó-sim,好心
信心,sìn-sim,信心
死心,sí-sim,死心
你若是有心欲做，就一定會成功。,"Lí nā-sī ū sim beh tsò, tō it-tīng ē sîng-kong. ",你如果有心要做，就一定會成功。
菜心,tshài-sim,菜心
石磨仔心,tsio̍h-bō-á sim,石磨的中央
門戶,mn̂g-hōo,門戶
家家戶戶,ke-ke-hōo-hōo,家家戶戶
咱規庄頭攏總有五百戶。,Lán kui tsng-thâu lóng-tsóng ū gōo-pah hōo. ,我們整個村子裡頭總共有五百戶人家。
烏手,oo-tshiú,機械修護工人
去予伊趁一手去。,Khì hōo i thàn tsi̍t tshiú khì. ,讓他賺了一筆。
一支喙,tsi̍t ki tshuì,一張嘴
一支鼻,tsi̍t ki phīnn,一個鼻子
語文,gí-bûn,語文
詩文,si bûn,詩文
半文半白,puàn bûn puàn pe̍h,文言與白話交雜
伊講話真文。,I kóng-uē tsin bûn. ,他說話用語很文雅。
三斗米,sann táu bí,三斗米
飯斗,pn̄g-táu,飯桶
喙下斗,tshuì-ē-táu,下巴
頭家，西瓜一斤是偌濟錢？,"Thâu-ke, si-kue tsi̍t kin sī guā-tsē tsînn? ",老闆，西瓜一斤多少錢？
藥方,io̍h-hng,藥方
偏方,phian-hng,偏方
地方,tē-hng,地方
教子有方,kàu tsú iú hong,教子有方
東方,tang-hong,東方
四方,sù-hong,四方
出日,tshut ji̍t,出太陽
一日,tsi̍t ji̍t,一天
臺、日交流,"Tâi, Ji̍t kau-liû",臺、日交流
日月,ji̍t gua̍t,日月
阿月,A-gua̍t,阿月
月娘,gue̍h-niû,月亮
大月,tuā-gue̍h,大月
月餅,gue̍h-piánn,月餅
月琴,gue̍h-khîm,月琴
樹木,tshiū-ba̍k,樹木
做木的,tsò-ba̍k--ê,木匠
草木,tshó-bo̍k,草木
木本,bo̍k-pún,木本
木材,bo̍k-tsâi,木材
入木,ji̍p-bo̍k,入殮。將屍體移入棺材
你是毋是佇外口有欠人錢？,Lí sī m̄ sī tī guā-kháu ū khiàm lâng tsînn? ,你是不是在外面欠別人錢？
你欠運動，體力才會遮䆀。,"Lí khiàm ūn-tōng, thé-la̍t tsiah ē tsiah bái. ",你少運動，體力才會這麼差。
血流袂止,hueh lâu bē tsí,血流不止
止疼,tsí-thiànn,止疼
到遮為止,kàu tsia uî tsí,到此為止
伊做這途，不止仔好空。,"I tsò tsit tôo, put-tsí-á hó-khang. ",他做這一行，好處多多。
咱人歹代誌毋通做。,Lán lâng pháinn tāi-tsì m̄-thang tsò. ,我們人壞事不要做。
阮兜的冷氣昨暝歹去矣！,Guán tau ê líng-khì tsa-mê pháinn--khì--ah! ,我們家的冷氣昨晚壞了！
你無代無誌歹我創啥？,Lí bô-tāi-bô-tsì pháinn guá tshòng siánn? ,你沒事兇我幹嘛？
落雨天的時陣，這條路就變甲真歹行。,"Lo̍h-hōo-thinn ê sî-tsūn, tsit tiâu lōo tō piàn kah tsin pháinn kiânn. ",下雨天的時候，這條路就變得很難走。
阿明中晝食歹腹肚，所以下晡就請假轉去。,"A-bîng tiong-tàu tsia̍h-pháinn pak-tóo, sóo-í ē-poo tō tshíng-ká tńg--khì. ",阿明中午吃壞肚子，所以下午就請假回家。
我毋去。,Guá m̄ khì. ,我不去。
你講按呢是毋？,Lí kóng án-ne sī--m̄? ,你是不是這樣說？
彼領褲提來比一下。,Hit niá khòo the̍h lâi pí--tsi̍t-ē. ,那件褲子拿來比一下。
差濟咧，袂比得。,"Tsha tsē--leh, bē-pí--tit. ",差多啦，沒得比。
用手比較緊。,Iōng tshiú pí khah-kín. ,用手比較快些。
羊毛,iûnn-mn̂g,羊毛
雨毛仔,hōo-mn̂g-á,毛毛雨
苦毛仔,khóo-mn̂g-á,人臉初生的細毛
手毛,tshiú môo,手毛
羊毛,iûnn-môo,羊毛
毛利,môo-lī,只除去成本，未除去其他費用的利潤。
毛遂,Môo Suī,毛遂
氏族,sī-tso̍k,氏族
王氏,Ông--sī,王氏
囡仔放的屎水水。,Gín-á pàng ê sái tsuí-tsuí. ,小孩子拉的屎水水的。
頭水豬仔,thâu-tsuí ti-á,成熟母豬所生的第一胎小豬
山水,san-suí,山水
利水,lī suí,利尿
你歹𤆬頭，專門咧教歹囡仔大細。,"Lí pháinn-tshuā-thâu, tsuan-bûn teh kà pháinn gín-á-tuā-sè. ",你是一個壞榜樣，專門在教壞所有的小孩子。
廿一世紀,jia̍p-it sè-kí,二十一世紀
𪜶某定定去佮一寡官夫人交際應酬。,In bóo tiānn-tiānn khì kah tsi̍t kuá kuann-hu-jîn kau-tsè ìng-siû. ,他的老婆常常和一些官員的老婆去交際應酬。
真久無見面矣，高夫人最近好無？,"Tsin kú bô kìnn-bīn--ah, Ko hu-jîn tsuè-kīn hó--bô? ",好久不見了，高太太最近好嗎？
天下太平,thian-hā thài-pîng,天下太平
這个作家自少女時代就開始寫作。,Tsit-ê tsok-ka tsū siàu-lú sî-tāi tō khai-sí siá-tsok. ,這位作家自少女時代就開始寫作。
你戶口佇佗位？,Lí hōo-kháu tī tó-uī? ,你的戶籍所在地在哪裡？
伊的手工真幼，我的衫上愛予伊做。,"I ê tshiú-kang tsin iù, guá ê sann siōng ài hōo i tsò. ",他的手工很細緻，我的衣服最喜歡由他來縫製。
這是手工的麵線。,Tse sī tshiú-kang ê mī-suànn. ,這是手工做的麵線。
日子過了真緊。,Ji̍t-tsí kuè liáu tsin kín. ,時間過得真快。
